Model no.	Breast cancer type	Disease area	Disease features	Category	Type	Cells	Source	Cell culture type	Cell culture dimensions	3D type	Ex vivo	Applications	Biological endpoints	Throughput	Potential	Relevance	DOI or link	First author name	Year
930	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells/Stem-cell like	MDA-MB-231, MCF7	Culture	3D	Spheroids	n/a	Drug develop./testing	cytotoxicity, proliferation assay and alkaline phosphatase, CD44, CD24	Low	Yes	Direct	10.4314/tjpr.v17i9.21	Nhan Lu-Chinh Phan	2018
931	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells/Stem-cell like	MCF7	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Medium	Yes	Direct	10.1021/acs.molpharmaceut.8b00367	Poujade, Flore-Anne	2018
932	BC	BC	Cancer Initiation and Development; Cancer Stem Cells	In vitro	Cells	Immortalised cells	MDA-MB-231,MDA-MB-468, SUM149, SUM159	Co-culture	3D	Scaffolds	n/a	Disease mechanism (exp./theor.)	CD44, migration, proliferation, OPN, SELL, ALDH	Low	Yes	Supportive	10.1593/neo.132076	Zheng, Lufeng	2014
934	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF10A derivatives (MCF10A, T1K , Ca1h)MDA-MB-231, MDA-MB-361, ZR-75-1, T47D, T47D-C42W, BT549	Culture	3D	Organoids	n/a	Disease mechanism (exp./theor.)	growth factor β1, E-Cadherin, TGF-β1, FGFR1, EMT	Medium	Yes	Supportive	10.1186/bcr3623	Wu, Dawei	2014
935	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF10A ER-Src, CAMA-1	Culture	3D	Spheroids	n/a	Drug develop./testing	cytotoxicity, metabolic profile	Low	Yes	Direct	10.1073/pnas.1409844111	Barnawi, Rayanah	2014
936	BC	BC	Pharmacological/Physical Treatment; Cancer Stem Cells	In vitro	Cells	Immortalised cells	BC	Culture	3D	Spheroids	n/a	Drug develop./testing	cytotoxicity, ALDH1A1, CXCR4, MUC1, EpCAM, proliferation,  invasiveness, viability	Low	Yes	Direct	10.12659/MSM.908022	Schlotz, Nina	2018
938	BC	BC	Cancer Initiation and Development; Pharmacological/Physical Treatment	In vitro	Cells	Primary cell culture	HCC1937, HCC1954	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	miR-205-5p ErbB/HER, EGFR ZEB1, cytotoxicity, P63	Low	Yes	Direct	10.1038/cddis.2015.192	Huang, Xiaoli	2015
940	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	HCC1569, HCC1954, HER2, BT474, SKBR3	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	p63, EGF, SCR, HAS3, Cd44, correlation	Low	Yes	Direct	10.1038/s41389-018-0073-3	Klevebring, Daniel	2018
948	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF‐7, MDA‐MB‐231, T47‐D, SKBR‐3	Culture	3D	Spheroids	n/a	Drug develop./testing	Cytokeratin (CK) 5/6, CK14,  epidermal growth factor receptor (EGFR), correlation, viability, colony formation, AKT	Low	Yes	Supportive	10.1016/j.clbc.2015.06.001	Bartucci, M.	2015
949	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells/Stem-cell like	BC	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	miR‐10b, PTEN, AKT, morphology, CD44, PIK3CA, correlation, EMT	Low	Yes	Supportive	10.15252/embr.201540678	Barnawi, Rayanah	2016
953	BC	BC	Cancer Initiation and Development	In vitro	Ex vivo	n/a	BC, NK-cells	n/a	n/a	n/a	Biopsies	Disease mechanism (exp./theor.)	RNA profile, CA12	High	Yes	Direct	10.1007/s13277-016-5351-0	Almozyan, Sheema	2016
954	BC	BC	Immunotherapy	In vitro	Cells	Primary cell culture	MDA-MB-231	Co-culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity, proinflammatory cytokines, interferon-γ,  tumor necrosis factor-α	Low	Yes	Supportive	10.1097/CJI.0000000000000192	Donzelli, Sara	2018
957	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	MDA-MB-231, T47D, MCF7	Culture	2.5D	n/a	n/a	Model/method develop.(exp.)	metabolic activity, proliferation	Low	Yes	Direct	10.1016/j.biomaterials.2018.04.046	Bazzi, Zainab A.	2018
958	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Primary cell culture	BC	Culture	2D	n/a	n/a	Drug develop./testing	RNA profile	Low	Yes	Direct	10.21873/anticanres.12512	Sehrawat, Anuradha	2018
959	BC	BC	Cancer Initiation and Development; Angiogenesis	In vitro	Cells	Immortalised cells	MCF7	Culture	2D/3D	Spheroids	n/a	Disease mechanism (exp./theor.)	CD44, ERK, HIF, MAPK, PH3, TIMP-2, MT1/2-MMP, viability, tumor vascolarization, migration	Low	Yes	Supportive	10.1016/j.yexcr.2016.11.019	Buduma, Komuraiah	2017
961	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	MCF7, MDA-MB-321, SK-BR-3, CCD-1126Sk	Culture	2D	n/a	n/a	Model/method develop.(exp.)	IR absorbance, lipid and phosphate change	Low	Yes	Direct	10.1371/journal.pone.0111137	Eldehna, Wagdy M.	2014
962	BC	BC	Angiogenesis	In vitro	Cells	Immortalised cells	MCF7, MDA-453, MDA-231,HUVECs	Co-culture	2.5D	n/a	n/a	Disease mechanism (exp./theor.)	tube formation, β2-AR-PKA-mTOR pathway, VEGF, Notch, Jagged 1	Low	Yes	Supportive	10.1530/ERC-14-0236	Zmejkovski, Bojana B.	2014
964	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MDA-MB-231, MCF7	Culture	2.5D	n/a	n/a	Drug develop./testing	viability, CDH1, YAP cytotoxicity	Low	Yes	Direct	10.3389/fonc.2018.00337	Parveen, Rumana	2018
965	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7, SUM149	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	SURVIVIN, BIRC5, correlation, cleaved Caspase 3, colony formation	Low	Yes	Direct	10.1371/journal.pone.0120719	Noteborn, Willem E. M.	2015
966	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	MCF7, MDA-231, SKBR3, SUM102, ZR75B,BT474, fibroblast	Co-culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	EMMPRIN, miR-106a/b, STAT3 and HIF-1α, 	Low	Yes	Direct	10.1038/srep28329	Eldehna, Wagdy M.	2016
967	BC	BC	Cancer Initiation and Development	In vitro	Cells/Cell free	Immortalised cells	SUM159PT, MCF10DCIS.com	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	PDI, ERp44, or ERp57, colony formation, viability	Low	Yes	Supportive	10.1007/s10549-016-3820-1	Van Swearingen, Amanda E. D.	2016
968	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	SKBR3	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	Darpp, SURVIVIN, BIM, cytotoxicity	Medium	Yes	Direct	10.18632/oncotarget.5311	Reiter, Johannes G.	2015
969	BC	BC	Metastasis	In vitro	Cells	Immortalised cells	MCF7, MDA-MB-231, ZR-75-30	Culture	2D/3D	Spheroids	n/a	Drug develop./testing	invasion, cell adhesion, IL-1α, IL-6, IL-8,  TNF-α, MMP-1, TIMP-1, TIMP-2	Low	Yes	Direct	10.1080/15384047.2016.1195047	Bagu, Edward T.	2016
970	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Primary cell culture	BC	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	TGFBR3, secreted cytokines	Low	Yes	Direct	10.3390/cancers8110100	Mohan, Chakrabhavi Dhananjaya	2016
972	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	PL45, MDA-MB-231, MDA-MB-468, BT20, MCF7, MCF10A	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	BRCA2, miR-19a and miR-19b, miR-17/92	Low	Yes	Direct	10.3389/fgene.2016.00143	Naushad, Shaik Mohammad	2016
974	BC	BC	Tumor Detection and Classification	In vitro	Ex vivo	n/a	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp./theor.)	SOX10, GATA3, GCDFP15, rogen receptor,  mammaglobin	Low	Yes	Direct	10.1097/PAS.0000000000001216	Castillo, Daniel	2019
978	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Direct	10.3390/molecules23061459	Tabrizi, Leila	2018
981	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	Wt-MCF7, wt-HCC1428, wt-ZR75.1, wt-SUM44	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	ESR1	Low	Yes	Supportive	10.1038/s41467-017-01864-y	Gong, Yi	2017
982	BC	BC	Drug Discovery and/or Testing	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	n/a	Model/method develop.(theor.)	ADMET Profile 	Low	Yes	Direct	10.7314/APJCP.2016.17.4.2291	Alonso, Concepcion	2016
983	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF10, BT474, MCF7, T47D, HCC1428, MDA-MB-453, SKBR3, MDA-MB-231, HCC70	Culture	3D	Spheroids	n/a	Drug develop./testing	HOXA6, A13, B2, B4, B5, B6, B7, B8, B9, C5, C9, C13, D1,  D8, viability, cell proliferation	Medium	Yes	Supportive	10.1007/s12033-013-9682-4	Su, Hongying	2014
985	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MDA-MB-231, MCF7	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity, regulation of Bcl-2, apoptosis, caspase-3 	Medium	Yes	Direct	10.3390/molecules23061420	Antoniassi, M.	2018
987	BC	BC	Tumor Detection and Classification	In vitro	Cells	Immortalised cells	MCF7	Culture	2D	n/a	n/a	Drug develop./testing; Diagnosis of disease; Model/method develop. (exp.)	MUC1	Low	Yes	Direct	10.1016/j.snb.2014.04.040	Antoniassi, M.	2014
988	BC	BC	Tumor Detection and Classification	In vitro	Cells	Immortalised cells	MDA-MB-231, MCF7	Culture	2D	n/a	n/a	Drug develop./testing; Diagnosis of disease; Model/method develop. (exp.)	VEGF	Low	Yes	Direct	10.1016/j.aca.2017.10.033	Krukenberg, Kristin A.	2018
990	BC	BC	Pharmacological/Physical Treatment	In silico	Computational	n/a	n/a	n/a	n/a	n/a	n/a	Disease mechanism (exp./theor.)	Trastuzumab/HER2 complexes	Low	Yes	Direct	10.3390/ijms20051076	Sun, Wei	2019
991	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7, MCF7/VP16, BT474, T47D, ZR-75-1, SKBR3, MDA-MB-468, MCF10A, BT20 , MDA-MB-231	Culture	2D	n/a	n/a	Drug develop./testing	CYP1, ANI-7, AhR, ARNT, cytotoxicity	Medium	Yes	Direct	10.1124/mol.117.109827	Eletxigerra, Unai	2018
995	BC	BC	Cancer Initiation and Development	In vitro	Cells	Primary cell culture	BC	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	ARID3B, ERBB2, ERα, EMT	Low	Yes	Direct	10.1007/s13402-014-0185-5	Erdogan, Ayse Selcen Oguz	2014
996	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7 , MDA-MB-468	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Direct	10.1016/j.bmc.2013.12.029	Yoon, Yeong Keng	2014
997	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	BM-468, ZR-75-1	Culture	2D	n/a	n/a	Drug develop./testing	proliferation, apoptosis	Low	Yes	Direct	10.3109/15368378.2013.800104	Loja, Tomas	2014
999	BC	BC	Circulating Cancer Cells/DNA Identification and Profiling	In vitro	Cells	Immortalised cells	SKBR3, MDA-MB-453, T47D, MCF7, BT474, ZR-75-1, SUM149, SUM190, MDA-MB-231, Hs578T	Culture	2D	n/a	n/a	Model/method develop.(exp.)	EpCAM, HER2, CD45, CD31, cancer cells recovery rates, RNA profile	Low	Yes	Direct	10.18632/oncotarget.5977	Ring, Alexander	2015
1001	BC	BC	Patient stratification	In vitro	Ex vivo	n/a	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp./theor.)	ccf-DNA concentration, correlation	Low	Yes	Direct	https://rjpbcs.com/pdf/2017_8(4)/[138].pdf	Gavel, R	2017
1002	BC	BC	Tumor Detection and Classification	In vitro	Cell free	n/a	liquid biopsy	n/a	n/a	n/a	Biopsies	Disease mechanism (exp./theor.)	Methylation Profile, correlation	Low	Yes	Direct	10.1093/annonc/mdy119	Liu, L.	2018
1003	BC	BC	Cancer Initiation and Development	In vitro	Ex vivo	n/a	BC	n/a	n/a	n/a	Biopsies	Disease mechanism (exp./theor.); Model/method develop. (exp.)	oestrogen receptor-α, progesterone receptor-b, viability, correlation	Low	Yes	Direct	10.1038/s41416-018-0331-3	Snell, Cameron E.	2018
1009	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	SUM44	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	cytotoxicity, MAPK, GRM/mGluR, ESRRG (ERRgamma)	Low	Yes	Direct	10.1016/j.mce.2017.09.024	Stires, Hillary	2018
1011	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity, SQSTM1/p62, cell proliferation, morphology	Medium	Yes	Direct	10.3892/or.2018.6615	Alsamman, Khaldoon	2018
1012	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231, EVSA-T	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	TGF-β, TAK-1, NF-κB, p65 TNF-α, RIPK1	Low	Yes	Direct	10.1515/hsz-2018-0324	Schmidt, Nadine	2019
1013	BC	BC	Cancer Initiation and Development	In silico	Algorithms	n/a	n/a	n/a	n/a	n/a	n/a	Model/method develop.(theor.)	RNA profile, AGTR2, ZNF132, TFDP3 	Low	Yes	Direct	10.1016/j.compbiolchem.2015.08.007	Tovar, Hugo	2015
1016	BC	BC	Cancer Initiation and Development; Immunotherapy	In vitro	Cells	Primary cell culture	T Lymphocytes	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	HLA-DR, IFN-γ (F), IL-10, CD4	Medium	Yes	Direct	10.3389/fimmu.2018.02605	Saraiva, Diana P.	2018
1023	BC	BC	Metastasis	In vitro	Ex vivo	n/a	liquid biopsy	n/a	n/a	n/a	Biopsies	Disease mechanism (exp./theor.)	MMP-2, MMP-9, VEGF	Low	Yes	Direct	10.5507/bp.2017.022	Skerenova, Marketa	2017
1024	BC	BC	Cancer Initiation and Development; Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	A431, HCC-1937, HCC-1954, MCF-10A,T47D 	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	S6, AKT, 4EBPI, BRCA-I, BRCA-II, PI3K, cytotoxicity	Low	Yes	Supportive	10.1038/s41467-018-07002-6	Giedt, Randy J.	2018
1025	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MDA‐MB‐231	Culture	3D	Spheroids	n/a	Drug develop./testing	mitochondrial ROS, colony formation	Low	Yes	Direct	10.1002/bit.26406	Davoodi, Pooya	2017
1027	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7/S0.5 (MCF7), MCF7/TAMR-1 (TAMR-1) , MCF7/182R-6 (182R-6)	Culture	2D	n/a	n/a	Drug develop./testing	genome-wide RNA profile, CCNA2, CCNB2, CDC20, PTTG1 and BAX, DNA double strand breaks	Low	Yes	Direct	10.18632/oncotarget.3188	Luzhna, Lidiya	2015
1031	BC	BC	Cancer Initiation and Development	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	n/a	Model/method develop.(theor.)	Ki67 score	Low	Yes	Direct	10.1038/modpathol.2015.38	Polley, Mei-Yin C.	2015
1032	BC	BC	Cancer Initiation and Development	In vitro	Ex vivo	n/a	n/a	n/a	n/a	n/a	Biopsies	Model/method develop.(exp.)	genome-wide RNA profile	Low	Yes	Direct	10.1016/j.molonc.2015.03.011	Foukakis, Theodoros	2015
1036	BC	BC	Cancer Initiation and Development	In vitro	Ex vivo	n/a	n/a	n/a	n/a	n/a	Liquid biopsies	Diagnosis of disease	genome-wide DNA profile	Low	Yes	Direct	10.1007/s10549-017-4176-x	Bingham, Catherine	2017
1039	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7, MCF7/C6	Culture	2.5D	n/a	n/a	Drug develop./testing	CD44, CD24, ALDH, OCT3/4 and NANOG, invasion, migration, proliferation, cytotoxicity	Low	Yes	Direct	10.1186/s12906-016-1088-y	Yan, Yunwen	2016
1042	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells/Stem-cell like	Human BCSCs (CD24−/CD44+)	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	HIF-1α, HIF-2α, Oct-4, ALDH1, KLF4,  c-MYC, SURVIVIN, proliferation, cell death	Low	Yes	Direct	10.1088/1742-6596/1073/3/032066	Sen, L.T.	2018
1044	BC	BC	Cancer Initiation and Development	In vitro	Cells	Primary cell culture/Stem cells	BC	Culture	2.5D/3D	Spheroids	n/a	Disease mechanism (exp./theor.)	morphology, proliferation, invasion, migration, CD24, D44, ALDH1	Low	Yes	Direct	10.3892/mmr.2016.5899	Shao, Jun	2016
1045	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells/Stem-cell like	MCF7	Culture	2D	n/a	n/a	Drug develop./testing	mitochondrial metabolism, glycolysis, ATP, cytotoxicity	Medium	Yes	Direct	10.18632/aging.101483	Bonuccelli, Gloria	2018
1046	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF‐7/LCC2, MCF‐7/LCC9	Culture	2D/2.5D	n/a	n/a	Drug develop./testing	cell invasion, cytotoxicity, AIB1 	Low	Yes	Direct	10.1111/1440-1681.12806	Manmuan, Suwisit	2017
1047	BC	BC	Pharmacological/Physical Treatment; Metastasis	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	2D/3D	Scaffolds	n/a	Disease mechanism (exp./theor.)	cell migration, EGFR, cytotoxicity	Low	Yes	Direct	10.1371/journal.pone.0203040	Biswenger, Verena	2018
1049	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells/Stem-cell like	MDA-MB-231,MCF7	Co-culture	2D/3D	Spheroids	n/a	Drug develop./testing	E-cadherin, anti-inflammatory cytokines, VEGF, TGF-β, TNF-α, IFN-γ, IL-10, IL-6, IL-3β, Wnt/β-catenin signaling pathway, cytotoxicity, angiogenesis, EMT	Low	Yes	Direct	10.1016/j.biocel.2019.02.001	Mandal, Saurabh	2019
1052	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231 , SUM149	Culture	2.5D	n/a	n/a	Disease mechanism (exp./theor.)	HIF-1a, HIF-2a, Lipin1, invasion, metastasis, metabolism and formation of lipid droplets	Low	Yes	Supportive	10.18632/oncotarget.4612	Shah, Tariq	2015
1053	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231 , MCF7 ,MDA-MB-361, MDA-MB-453,T47D	Culture	2.5D/3D	Spheroids	n/a	Disease mechanism (exp./theor.)	mDIA1, mDIA2, invasion, MT-MMP, MMP-2, CD44, CD133, MMP-9	Low	Yes	Direct	10.18632/oncotarget.7429	Kim, Daehwan	2016
1054	BC	BC	Cancer stem cells	In vitro	Cells	Immortalised cells/Stem-cell like	MDA-MB-231	Culture	3D	Spheroids	n/a	Model/method develop.(exp.)	 OCT4, nanog, SOX2, colony formation, CD44	Low	Yes	Direct	10.4067/S0717-95022016000400003	Ghanbari, Tara	2016
1055	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells/Stem-cell like	MDA-MB-231	Culture	2D/3D	Spheroids	n/a	Drug develop./testing	cytotoxicity, Stat3/IL‐6, CD24, CD44, ALDH1, OCT4, NANOG, SOX-2, colony formation, proliferation	Low	Yes	Direct	10.1002/mc.22870	Choi, Hack Sun	2018
1056	BC	BC	Angiogenesis	In vitro	Cells	Primary cell culture	BC, endothelial cells	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	CD44. CD24, CD105, CD31, p53, CD31 and VEGF	High	Yes	Direct	10.3892/ol.2017.7238	Wang, Yu	2017
1057	BC	BC	Cancer Initiation and Development; Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells/Stem-cell like	MDA-MB-231, SUM149	Culture	2D/3D	Spheroids	n/a	Drug develop./testing	RSK, cytotoxicity, YB-1, CD44, CD49, proliferation	Low	Yes	Direct	10.18632/oncotarget.4135	Davies, Alastair H.	2015
1060	BC	BC	Cancer Initiation and Development; Pharmacological/Physical Treatment	In vitro	Cells	Primary cell culture/Stem cells	BC	Culture	3D	Spheroids	n/a	Drug develop./testing	SLC34A2, Bmi1, ABCC5, cytotoxicity	High	Yes	Direct	10.1007/s13277-015-4226-0	Ge, Guanqun	2016
1061	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells/Stem-cell like	MCF7-T47D	Culture	2D/3D	Spheroids	n/a	Drug develop./testing	ABCG2, ALDH1, colony formation, membrane permeability, apoptosis	Medium	Yes	Supportive	10.1042/BSR20171137	Guo, Lijuan	2017
1063	BC	BC	Pharmacological/Physical Treatment; Cancer Stem Cells	In vitro	Cells	Immortalised cells/Stem-cell like	MCF7	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	CD44, CD24, ALDH1, ESA, colony formation, BMI1, NOTCH4, KLF4	Low	Yes	Supportive	10.1158/1940-6207.CAPR-13-0445	Kim, Su-Hyeong	2014
1066	BC	BC	Pharmacological/Physical Treatment	In vitro/In silico	Cells/Algorithms	Immortalised cells	MDA-MB-231 , MCF7	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity, RNA profile	Medium	Yes	Direct	10.1080/1062936X.2015.1076516	Konova, V.	2015
1068	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	T‐47D, SK‐BR‐3, SUM1315MO2, MDA‐MB‐231	Culture	2.5D	n/a	n/a	Disease mechanism (exp./theor.)	c-SRC, Vimentin, viability, colony formation, migration, invasion, AKT, Cyclin E, Cyclin D1, CDK4, EMT	Low	Yes	Supportive	10.1111/cas.13572	Lou, Longquan	2018
1069	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	2.5D	n/a	n/a	Model/method develop.(exp.)	viability, cell adhesion, migration	Low	Yes	Direct	10.1021/acsami.8b15036	Marrella, A.	2018
1071	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	A549, MCF7, T-47D, SK-BR-3, ZR 75.1, BT474, MDA-MB-468	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	AGR2, mTOR, PI3K	Low	Yes	Supportive	10.1016/j.yexcr.2017.04.011	Matoulkova, Eva	2017
1072	BC	BC	Cancer Initiation and Development	In vitro	Ex vivo	n/a	BC	n/a	n/a	n/a	Biopsies	Disease mechanism (exp./theor.)	 ATM, CDH1, CHEK2, ESR1, GATA3, MAP3K1, MSH2, PALB2, RB1, STK11, mutation profile	Medium	Yes	Direct	10.1111/cge.13063	Xie, Y.	2018
1077	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Supportive	https://web.b.ebscohost.com/abstract?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=15551431&AN=113146998&h=qjUJWcgBVd3cJ2T8MZnMTqPwd5R9Tgyq%2bkA5U66Q1yJHL75h%2fPKrw%2fWwLejyxuHaJa%2bJ3k%2fwj0j02%2buUW0pduA%3d%3d&crl=c&resultNs=AdminWebAuth&resultLocal=ErrCrlNotAuth&crlhashurl=login.aspx%3fdirect%3dtrue%26profile%3dehost%26scope%3dsite%26authtype%3dcrawler%26jrnl%3d15551431%26AN%3d113146998	Bharti, V.	2015
1079	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	SUM159, MDA-MB-469	Culture	2D	n/a	n/a	Drug develop./testing	YM55, p38 MAPK, CHOP, DR5, cytotoxicity, ROS, apoptosis	Low	Yes	Supportive	10.1002/ijc.28993	Pennati, Marzia	2015
1080	BC	BC	Microenvironment-Tumor Interactions; Metastasis	In vitro	Cells/Ex vivo	Immortalised cells	MCF7 , MDA-MB-231, adipose cells	Co-culture	2.5D	n/a	Biopsies	Model/method develop.(exp.)	invasion	Low	Yes	Direct	10.1088/1758-5090/aa6bad	Vinson, Benjamin T.	2017
1081	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	2D/3D	Spheroids	n/a	Disease mechanism (exp./theor.)	SNX9, podosomes, TKS5m, invadopodia, MT1-MMP, Src	Low	Yes	Direct	10.1242/jcs.188045	Bendris, Nawal	2016
1082	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231 , SUM1315	Culture	2D/2.5D	n/a	n/a	Disease mechanism (exp./theor.)	ALG3, CCK8, HSF2, invasion, migration, cell proliferation, EMT	Low	Yes	Direct	10.12659/MSM.904124	He, Jing	2017
1083	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells/Stem-cell like	MCF7 , MDA-MB-231	Culture	2.5D	n/a	n/a	Disease mechanism (exp./theor.)	mir628, SOS, migration, invasion, CD4, CD24	Low	Yes	Direct	10.2147/OTT.S164575	Lin, Chenghui	2018
1084	BC	BC	Cell culture strategy	In vitro	Cells	Immortalised cells/Stem-cell like	MCF7 , MDA-MB-231	Culture	3D	Spheroids	n/a	Model/method develop.(exp.)	morphology, YAP/TAZ	Low	Yes	Direct	10.1371/journal.pone.0132377	Jabbari, Esmaiel	2015
1085	BC	BC	Metastasis	In vitro	Cells	Immortalised cells	MCF7, MDA-MB-231	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	CXCR4, LL-37, migration	Low	Yes	Supportive	10.1016/j.bbadis.2018.09.008	Pan, Wen Liang	2018
1086	BC	BC	Anti-cancer drug delivery system	In vitro	Ex vivo	n/a	n/a	n/a	n/a	n/a	Biopsies	Drug develop./testing	annexin-V, proliferation, cytotoxicity, 	Low	Yes	Direct	10.1155/2016/7549372	Markeb, Ahmed A.	2016
1092	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells/Ex vivo	Immortalised cells	T47D, MDA-MB-231, Human monocytes	Co-culture	2D	n/a	Biopsies	Disease mechanism (exp./theor.)	RNA profile, ICOS, IFNA2, TNF, TLR3, CXCL12, CCL5, CXCL9 and CSF2, inflammatory response, CXCL10, IL-R2A and IL-3, cell proliferation	Low	Yes	Direct	10.1038/srep09188	Hollmen, Maija	2015
1093	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Direct	10.1016/j.cej.2017.07.165	Ardekani, Sara Madadi	2017
1094	BC	Claudin-low BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA‐MB‐231 , Hs578T	Culture	2.5D/3D	Spheroids	n/a	Disease mechanism (exp./theor.)	lncRNA HOTAIR, integrin α2 and SRC kinase, HOXC11, H3K4, BRD4	Low	Yes	Direct	10.1002/1878-0261.12133	Li, Miao	2017
