Model no.	Disease Area	Disease Feature	Category	Type	Application	Biological Endpoints	Throughput	Potential	Notes	Reference	DOI	Authors	Year	Citation Index (Scopus)	Citation Index  (WOS)
31	Lung Cancer	Tumour microenvironment	Chip or microfluidic system	HUVEC ATCC	Mimics tumour microenvironment	Metabolism	Medium / Low (Lab scale)	Disease Progression		Design and Construction of a Multi-Organ Microfluidic Chip Mimicking the in vivo Microenvironment of Lung Cancer Metastasis	https://doi.org/10.1021/acsami.6b08746	Xu, ZY., Li, EC., Guo, Z., Yu, RF., Hao, HL., Xu, YT., Sun, Z., Li, XC., Lyu, JX., Wang, Q.	2016	27	27
31	Lung Cancer	Tumour microenvironment	Chip or microfluidic system	THP-1 cell line	Mimics tumour microenvironment	Metabolism	Medium / Low (Lab scale)	Disease Progression		Design and Construction of a Multi-Organ Microfluidic Chip Mimicking the in vivo Microenvironment of Lung Cancer Metastasis	https://doi.org/10.1021/acsami.6b08746	Xu, ZY., Li, EC., Guo, Z., Yu, RF., Hao, HL., Xu, YT., Sun, Z., Li, XC., Lyu, JX., Wang, Q.	2016	27	27
32	Lung Cancer	Tissue/Cell Viability	2D or 3D Culture	H358 Bronchioalveolar carcinoma	Model development - experim	Tissue / Cell Viability	Medium / Low (Lab scale)	Drug Discovery		Ex vivo non-invasive assessment of cell viability and proliferation in bio-engineered whole organ constructs	https://doi.org/10.1016/j.biomaterials.2015.01.061	Ren, X., Tapias, LF., Jank, BJ., Mathisen, DJ., Lanuti, M., Ott, HC.	2015	24	23
33	Lung Cancer	Exploratory/ no specific feature	2D or 3D co-culture	Human lung adenocarcinoma (HCC)	Model development - experim	Metabolism	Medium / Low (Lab scale)	Drug Discovery		Interactions among Lung Cancer Cells, Fibroblasts, and Macrophages in 3D Co-Cultures and the Impact on MMP-1 and VEGF Expression	https://doi.org/10.1371/journal.pone.0156268	Liu, XQ., Kiefl, R., Roskopf, C., Tian, F., Huber, RM.	2016	11	7
33	Lung Cancer	Exploratory/ no specific feature	2D or 3D co-culture	Macrophages	Model development - experim	Metabolism	Medium / Low (Lab scale)	Drug Discovery		Interactions among Lung Cancer Cells, Fibroblasts, and Macrophages in 3D Co-Cultures and the Impact on MMP-1 and VEGF Expression	https://doi.org/10.1371/journal.pone.0156268	Liu, XQ., Kiefl, R., Roskopf, C., Tian, F., Huber, RM.	2016	11	7
33	Lung Cancer	Exploratory/ no specific feature	2D or 3D co-culture	MRC5 fibroblasts	Model development - experim	Metabolism	Medium / Low (Lab scale)	Drug Discovery		Interactions among Lung Cancer Cells, Fibroblasts, and Macrophages in 3D Co-Cultures and the Impact on MMP-1 and VEGF Expression	https://doi.org/10.1371/journal.pone.0156268	Liu, XQ., Kiefl, R., Roskopf, C., Tian, F., Huber, RM.	2016	11	7
34	Lung Cancer	Protein expression	2D or 3D co-culture	A549 cell line	Model development - experim	Cellular crosstalk	Medium / Low (Lab scale)	Mechanistic Studies		Paracrine influence of human perivascular cells on the proliferation of adenocarcinoma alveolar epithelial cells	https://doi.org/10.4196/kjpp.2017.21.2.161	Kim, E., Na, S., An, B., Yang, SR., Kim, WJ., Ha, KS., Han, ET., Park, WS., Lee, CM., Lee, JY., Lee, SJ., Hong, SH.	2017	-	0
34	Lung Cancer	Protein expression	2D or 3D co-culture	Erythroleukaemia cells	Model development - experim	Cellular crosstalk	Medium / Low (Lab scale)	Mechanistic Studies		Paracrine influence of human perivascular cells on the proliferation of adenocarcinoma alveolar epithelial cells	https://doi.org/10.4196/kjpp.2017.21.2.161	Kim, E., Na, S., An, B., Yang, SR., Kim, WJ., Ha, KS., Han, ET., Park, WS., Lee, CM., Lee, JY., Lee, SJ., Hong, SH.	2017	-	0
34	Lung Cancer	Protein expression	2D or 3D co-culture	Perivascular cells	Model development - experim	Cellular crosstalk	Medium / Low (Lab scale)	Mechanistic Studies		Paracrine influence of human perivascular cells on the proliferation of adenocarcinoma alveolar epithelial cells	https://doi.org/10.4196/kjpp.2017.21.2.161	Kim, E., Na, S., An, B., Yang, SR., Kim, WJ., Ha, KS., Han, ET., Park, WS., Lee, CM., Lee, JY., Lee, SJ., Hong, SH.	2017	-	0
35	Lung Cancer	Tumour microenvironment	3D Spheroid Co-culture	A549 cell line	Mimics tumour microenvironment	Immunohistochemistry/immunofluorescence	Medium / Low (Lab scale)	Mechanistic Studies		Recapitulating epithelial tumor microenvironment in vitro using three dimensional tri-culture of human epithelial, endothelial, and mesenchymal cells	https://doi.org/10.1186/s12885-016-2634-1	Lamichhane, SP., Arya, N., Kohler, E., Xiang, SN., Christensen, J., Shastri, VP.	2016	17	17
35	Lung Cancer	Tumour microenvironment	3D Spheroid Co-culture	Human lung microvascular endothelial cells HMVEC	Mimics tumour microenvironment	Immunohistochemistry/immunofluorescence	Medium / Low (Lab scale)	Mechanistic Studies		Recapitulating epithelial tumor microenvironment in vitro using three dimensional tri-culture of human epithelial, endothelial, and mesenchymal cells	https://doi.org/10.1186/s12885-016-2634-1	Lamichhane, SP., Arya, N., Kohler, E., Xiang, SN., Christensen, J., Shastri, VP.	2016	17	17
35	Lung Cancer	Tumour microenvironment	3D Spheroid Co-culture	Mesenchymal Stem Cells (MSCs)	Mimics tumour microenvironment	Immunohistochemistry/immunofluorescence	Medium / Low (Lab scale)	Mechanistic Studies		Recapitulating epithelial tumor microenvironment in vitro using three dimensional tri-culture of human epithelial, endothelial, and mesenchymal cells	https://doi.org/10.1186/s12885-016-2634-1	Lamichhane, SP., Arya, N., Kohler, E., Xiang, SN., Christensen, J., Shastri, VP.	2016	17	17
36	Lung Cancer	Drug resistance (chemotherapy)	2D or 3D co-culture	A549 cell line	Drug development/ testing	Tissue / Cell Viability	Medium / Low (Lab scale)	Drug Discovery		Nanofiber membrane supported lung-on-a-chip microdevice for anti-cancer drug testing	https://doi.org/10.1039/c7lc01224a	Yang, XY., Li, KY., Zhang, X., Liu, C., Guo, BK., Wen, WJ., Gao, XH.	2018	18	17
36	Lung Cancer	Drug resistance (chemotherapy)	2D or 3D co-culture	HFL-1 cell line	Drug development/ testing	Tissue / Cell Viability	Medium / Low (Lab scale)	Drug Discovery		Nanofiber membrane supported lung-on-a-chip microdevice for anti-cancer drug testing	https://doi.org/10.1039/c7lc01224a	Yang, XY., Li, KY., Zhang, X., Liu, C., Guo, BK., Wen, WJ., Gao, XH.	2018	18	17
36	Lung Cancer	Drug resistance (chemotherapy)	2D or 3D co-culture	HUVEC ATCC	Drug development/ testing	Tissue / Cell Viability	Medium / Low (Lab scale)	Drug Discovery		Nanofiber membrane supported lung-on-a-chip microdevice for anti-cancer drug testing	https://doi.org/10.1039/c7lc01224a	Yang, XY., Li, KY., Zhang, X., Liu, C., Guo, BK., Wen, WJ., Gao, XH.	2018	18	17
37	Lung Cancer	Exploratory/ no specific feature	Organoid model	Human lung tumour tissue	Model development - experim	Morphology	Medium / Low (Lab scale)	Personalised therapy		Expansion of airway basal epithelial cells from primary human non-small cell lung cancer tumors	https://doi.org/10.1002/ijc.31383	Hynds, RE., Ben Aissa, A., Gowers, KHC., Watkins, TBK., Bosshard-Carter, L., Rowan, AJ., Veeriah, S., Wilson, GA., Quezada, SA., Swanton, C., Janes, SM.	2018	-	0
38	Lung Cancer	Tumour microenvironment	2D or 3D co-culture	A549 cell line	Model development - experim	Cellular crosstalk	Medium / Low (Lab scale)	Mechanistic Studies		Fibroblasts Influence Survival and Therapeutic Response in a 3D Co-Culture Model	https://doi.org/10.1371/journal.pone.0127948	Majety, M., Pradel, LP., Gies, M., Ries, CH.	2015	42	40
38	Lung Cancer	Tumour microenvironment	2D or 3D co-culture	H358 Bronchioalveolar carcinoma	Model development - experim	Cellular crosstalk	Medium / Low (Lab scale)	Mechanistic Studies		Fibroblasts Influence Survival and Therapeutic Response in a 3D Co-Culture Model	https://doi.org/10.1371/journal.pone.0127948	Majety, M., Pradel, LP., Gies, M., Ries, CH.	2015	42	40
38	Lung Cancer	Tumour microenvironment	2D or 3D co-culture	MRC5 fibroblasts	Model development - experim	Cellular crosstalk	Medium / Low (Lab scale)	Mechanistic Studies		Fibroblasts Influence Survival and Therapeutic Response in a 3D Co-Culture Model	https://doi.org/10.1371/journal.pone.0127948	Majety, M., Pradel, LP., Gies, M., Ries, CH.	2015	42	40
38	Lung Cancer	Tumour microenvironment	2D or 3D co-culture	NCI-H1975	Model development - experim	Cellular crosstalk	Medium / Low (Lab scale)	Mechanistic Studies		Fibroblasts Influence Survival and Therapeutic Response in a 3D Co-Culture Model	https://doi.org/10.1371/journal.pone.0127948	Majety, M., Pradel, LP., Gies, M., Ries, CH.	2015	42	40
38	Lung Cancer	Tumour microenvironment	2D or 3D co-culture	NCI-H1993	Model development - experim	Cellular crosstalk	Medium / Low (Lab scale)	Mechanistic Studies		Fibroblasts Influence Survival and Therapeutic Response in a 3D Co-Culture Model	https://doi.org/10.1371/journal.pone.0127948	Majety, M., Pradel, LP., Gies, M., Ries, CH.	2015	42	40
38	Lung Cancer	Tumour microenvironment	2D or 3D co-culture	NCI-H23	Model development - experim	Cellular crosstalk	Medium / Low (Lab scale)	Mechanistic Studies		Fibroblasts Influence Survival and Therapeutic Response in a 3D Co-Culture Model	https://doi.org/10.1371/journal.pone.0127948	Majety, M., Pradel, LP., Gies, M., Ries, CH.	2015	42	40
38	Lung Cancer	Tumour microenvironment	2D or 3D co-culture	NCI-H460	Model development - experim	Cellular crosstalk	Medium / Low (Lab scale)	Mechanistic Studies		Fibroblasts Influence Survival and Therapeutic Response in a 3D Co-Culture Model	https://doi.org/10.1371/journal.pone.0127948	Majety, M., Pradel, LP., Gies, M., Ries, CH.	2015	42	40
38	Lung Cancer	Tumour microenvironment	2D or 3D co-culture	NCI-H522	Model development - experim	Cellular crosstalk	Medium / Low (Lab scale)	Mechanistic Studies		Fibroblasts Influence Survival and Therapeutic Response in a 3D Co-Culture Model	https://doi.org/10.1371/journal.pone.0127948	Majety, M., Pradel, LP., Gies, M., Ries, CH.	2015	42	40
38	Lung Cancer	Tumour microenvironment	2D or 3D co-culture	NCI-H596	Model development - experim	Cellular crosstalk	Medium / Low (Lab scale)	Mechanistic Studies		Fibroblasts Influence Survival and Therapeutic Response in a 3D Co-Culture Model	https://doi.org/10.1371/journal.pone.0127948	Majety, M., Pradel, LP., Gies, M., Ries, CH.	2015	42	40
39	Lung Cancer	Drug resistance (chemotherapy)	2D or 3D Culture	A549 cell line	Drug development/ testing	Immunohistochemistry/immunofluorescence	Medium / Low (Lab scale)	Drug Discovery		A Combined 3D Tissue Engineered In Vitro/In Silico Lung Tumor Model for Predicting Drug Effectiveness in Specific Mutational Backgrounds	https://doi.org/10.3791/53885	Gottlich, C., Muller, LC., Kunz, M., Schmitt, F., Walles, H., Walles, T., Dandekar, T., Dandekar, G., Nietzer, SL.	2016	8	7
39	Lung Cancer	Drug resistance (chemotherapy)	2D or 3D Culture	HCC827	Drug development/ testing	Immunohistochemistry/immunofluorescence	Medium / Low (Lab scale)	Drug Discovery		A Combined 3D Tissue Engineered In Vitro/In Silico Lung Tumor Model for Predicting Drug Effectiveness in Specific Mutational Backgrounds	https://doi.org/10.3791/53885	Gottlich, C., Muller, LC., Kunz, M., Schmitt, F., Walles, H., Walles, T., Dandekar, T., Dandekar, G., Nietzer, SL.	2016	8	7
40	Lung Cancer	Tissue/Cell Viability	Computational/in silico	Other	Model development - theoret	Tissue / Cell Viability	Not relevant (e.g. In silico)	Unknown		Phenomenological modelling and simulation of cell clusters in 3D cultures	https://doi.org/10.1016/j.compbiomed.2016.08.019	Gonzalez-Valverde, I., Semino, C., Garcia-Aznar, JM.	2016	3	3
41	Lung Cancer	Tumour microenvironment	Chip or microfluidic system	A549 cell line	Disease mechanism (exp/theor)	Migration and invasion	Medium / Low (Lab scale)	Mechanistic Studies		Cancer-associated fibroblasts promote non-small cell lung cancer cell invasion by upregulation of glucose-regulated protein 78 (GRP78) expression in an integrated bionic microfluidic device	https://doi.org/10.18632/oncotarget.8232	Yu, T., Guo, Z., Fan, H., Song, J., Liu, YB., Gao, ZC., Wang, Q.	2016	26	24
41	Lung Cancer	Tumour microenvironment	Chip or microfluidic system	SPCA-1 human lung adenocarcinoma	Disease mechanism (exp/theor)	Migration and invasion	Medium / Low (Lab scale)	Mechanistic Studies		Cancer-associated fibroblasts promote non-small cell lung cancer cell invasion by upregulation of glucose-regulated protein 78 (GRP78) expression in an integrated bionic microfluidic device	https://doi.org/10.18632/oncotarget.8232	Yu, T., Guo, Z., Fan, H., Song, J., Liu, YB., Gao, ZC., Wang, Q.	2016	26	24
41	Lung Cancer	Tumour microenvironment	Chip or microfluidic system	Wi-38 Human fibroblasts	Disease mechanism (exp/theor)	Migration and invasion	Medium / Low (Lab scale)	Mechanistic Studies		Cancer-associated fibroblasts promote non-small cell lung cancer cell invasion by upregulation of glucose-regulated protein 78 (GRP78) expression in an integrated bionic microfluidic device	https://doi.org/10.18632/oncotarget.8232	Yu, T., Guo, Z., Fan, H., Song, J., Liu, YB., Gao, ZC., Wang, Q.	2016	26	24
42	Lung Cancer	Drug resistance (chemotherapy)	Computational/in silico	Other	Disease therapy development	Other	Not relevant (e.g. In silico)	Drug Discovery		Cancer Drug Response Profile scan (CDRscan): A Deep Learning Model That Predicts Drug Effectiveness from Cancer Genomic Signature	https://doi.org/10.1038/s41598-018-27214-6	Chang, Y., Park, H., Yang, HJ., Lee, S., Lee, KY., Kim, TS., Jung, J., Shin, JM.	2018	7	3
43	Lung Cancer	Tissue/Cell Viability	2D or 3D Culture	3T3 Mouse fetal fibroblasts	Model development - experim	Morphology	Medium / Low (Lab scale)	Unknown		Peptide and peptide-carbon nanotube hydrogels as scaffolds for tissue & 3D tumor engineering	https://doi.org/10.1016/j.actbio.2017.12.012	Sheikholeslam, M., Wheeler, SD., Duke, KG., Marsden, M., Pritzker, M., Chen, P.	2018	8	8
44	Lung Cancer	Angiogenesis	3D Spheroid Co-culture	HUVEC ATCC	Model development - experim	Vascularisation	Medium / Low (Lab scale)	Mechanistic Studies		A 3D Poly(ethylene glycol)-based Tumor Angiogenesis Model to Study the Influence of Vascular Cells on Lung Tumor Cell Behavior	https://doi.org/10.1038/srep32726	Roudsari, LC., Jeffs, SE., Witt, AS., Gill, BJ., West, JL.	2016	18	19
44	Lung Cancer	Angiogenesis	3D Spheroid Co-culture	Mouse 344SQ cells	Model development - experim	Vascularisation	Medium / Low (Lab scale)	Mechanistic Studies		A 3D Poly(ethylene glycol)-based Tumor Angiogenesis Model to Study the Influence of Vascular Cells on Lung Tumor Cell Behavior	https://doi.org/10.1038/srep32726	Roudsari, LC., Jeffs, SE., Witt, AS., Gill, BJ., West, JL.	2016	18	19
45	Lung Cancer	Tumour microenvironment	2D or 3D co-culture	A549 cell line	Mimics tumour microenvironment	Epithelial Mesenchymal Transition (EMT)	Medium / Low (Lab scale)	Mechanistic Studies		Matrix stiffness and tumor-associated macrophages modulate epithelial to mesenchymal transition of human adenocarcinoma cells	https://doi.org/10.1088/1758-5090/aaafbc	Alonso-Nocelo, M., Raimondo, TM., Vining, KH., Lopez-Lopez, R., de la Fuente, M., Mooney, DJ.	2018	6	6
45	Lung Cancer	Tumour microenvironment	2D or 3D co-culture	THP-1 cell line	Mimics tumour microenvironment	Morphology	Medium / Low (Lab scale)	Mechanistic Studies		Matrix stiffness and tumor-associated macrophages modulate epithelial to mesenchymal transition of human adenocarcinoma cells	https://doi.org/10.1088/1758-5090/aaafbc	Alonso-Nocelo, M., Raimondo, TM., Vining, KH., Lopez-Lopez, R., de la Fuente, M., Mooney, DJ.	2018	6	6
46	Pulmonary Fibrosis	Tissue/Cell Viability	Chip or microfluidic system	A549 cell line	Disease mechanism (exp/theor)	Immunohistochemistry/immunofluorescence	Medium / Low (Lab scale)	Disease Progression		Modeling alveolar injury using microfluidic co-cultures for monitoring bleomycin-induced epithelial/fibroblastic cross-talk disorder	https://doi.org/10.1039/c7ra06752f		2017		
46	Pulmonary Fibrosis	Tissue/Cell Viability	Chip or microfluidic system	MRC5 fibroblasts	Disease mechanism (exp/theor)	Immunohistochemistry/immunofluorescence	Medium / Low (Lab scale)	Disease Progression		Modeling alveolar injury using microfluidic co-cultures for monitoring bleomycin-induced epithelial/fibroblastic cross-talk disorder	https://doi.org/10.1039/c7ra06752f		2017		
46	Pulmonary Fibrosis	Tissue/Cell Viability	Chip or microfluidic system	THP-1 cell line	Disease mechanism (exp/theor)	Immunohistochemistry/immunofluorescence	Medium / Low (Lab scale)	Disease Progression		Modeling alveolar injury using microfluidic co-cultures for monitoring bleomycin-induced epithelial/fibroblastic cross-talk disorder	https://doi.org/10.1039/c7ra06752f		2017		
47	Lung Cancer	Drug resistance (chemotherapy)	2D or 3D co-culture	A549 cell line	Disease therapy development	Cytokine Release	Medium / Low (Lab scale)	Mechanistic Studies		Investigating the Radioresistant Properties of Lung Cancer Stem Cells in the Context of the Tumor Microenvironment	https://doi.org/10.1667/RR14285.1	Chan, R., Sethi, P., Jyoti, A., McGarry, R., Upreti, M.	2016	14	13
47	Lung Cancer	Drug resistance (chemotherapy)	2D or 3D co-culture	Human neonatal dermal fibroblasts	Disease therapy development	Cytokine Release	Medium / Low (Lab scale)	Mechanistic Studies		Investigating the Radioresistant Properties of Lung Cancer Stem Cells in the Context of the Tumor Microenvironment	https://doi.org/10.1667/RR14285.1	Chan, R., Sethi, P., Jyoti, A., McGarry, R., Upreti, M.	2016	14	13
47	Lung Cancer	Drug resistance (chemotherapy)	2D or 3D co-culture	Human NSCLC	Disease therapy development	Cytokine Release	Medium / Low (Lab scale)	Mechanistic Studies		Investigating the Radioresistant Properties of Lung Cancer Stem Cells in the Context of the Tumor Microenvironment	https://doi.org/10.1667/RR14285.1	Chan, R., Sethi, P., Jyoti, A., McGarry, R., Upreti, M.	2016	14	13
47	Lung Cancer	Drug resistance (chemotherapy)	2D or 3D co-culture	Human pulmonary artery endothelial cells (HPAEC)	Disease therapy development	Cytokine Release	Medium / Low (Lab scale)	Mechanistic Studies		Investigating the Radioresistant Properties of Lung Cancer Stem Cells in the Context of the Tumor Microenvironment	https://doi.org/10.1667/RR14285.1	Chan, R., Sethi, P., Jyoti, A., McGarry, R., Upreti, M.	2016	14	13
48	Cigarettes	Toxicity	2D or 3D Culture	EpiAirway (primary BEC)	Model development - experim	Inflammatory Mediators	Medium / Low (Lab scale)	Toxic insult/response		A Systems Biology Approach Reveals the Dose- and Time-Dependent Effect of Primary Human Airway Epithelium Tissue Culture After Exposure to Cigarette Smoke In Vitro	https://doi.org/10.4137/BBI.S19908	Mathis, C., Gebel, S., Poussin, C., Belcastro, V., Sewer, A., Weisensee, D.,  Hoeng, J.	2015		
49	Lung Cancer	Epithelial Mesenchymal Transition (EMT)	2D or 3D co-culture	3T3-L1 pre-adipose cells	Mimics tumour microenvironment	Metabolism	Medium / Low (Lab scale)	Disease Progression		Interaction with adipocytes induces lung adenocarcinoma A549 cell migration and tumor growth	https://doi.org/10.3892/mmr.2018.9226	Li, FF., Zhang, H., Li, JJ., Cao, YN., Dong, X., Gao, C.	2018	-	0
49	Lung Cancer	Epithelial Mesenchymal Transition (EMT)	2D or 3D co-culture	A549 cell line	Mimics tumour microenvironment	Metabolism	Medium / Low (Lab scale)	Disease Progression		Interaction with adipocytes induces lung adenocarcinoma A549 cell migration and tumor growth	https://doi.org/10.3892/mmr.2018.9226	Li, FF., Zhang, H., Li, JJ., Cao, YN., Dong, X., Gao, C.	2018	-	0
50	Lung Cancer	Epithelial Mesenchymal Transition (EMT)	Chip or microfluidic system	A549 cell line	Mimics tumour microenvironment	Migration and invasion	Medium / Low (Lab scale)	Mechanistic Studies		Identification of drugs as single agents or in combination to prevent carcinoma dissemination in a microfluidic 3D environment	https://doi.org/10.18632/oncotarget.5464	Bai, J., Tu, TY., Kim, C., Thiery, JP., Kamm, RD.	2015	24	21
50	Lung Cancer	Epithelial Mesenchymal Transition (EMT)	Chip or microfluidic system	HUVEC ATCC	Mimics tumour microenvironment	Migration and invasion	Medium / Low (Lab scale)	Mechanistic Studies		Identification of drugs as single agents or in combination to prevent carcinoma dissemination in a microfluidic 3D environment	https://doi.org/10.18632/oncotarget.5464	Bai, J., Tu, TY., Kim, C., Thiery, JP., Kamm, RD.	2015	24	21
