Model no.	Disease area	Disease feature 	Disease feature 1	Disease feature 2	Disease feature 3	Cellular Input	Model	Category	Type	Cells	Cell culture type	Cell culture dimensions	3D type	Ex vivo	Applications	Biological endpoints	Throughput	Potential	Relevance	Status	Content	Predictive	Year	First Author Name	Link to Abstract (DOI)
247	Cutaneous T-Cell Lymphoma	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	HH, H9, Hut78, MJ, and Hut102 patient-derived	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease therapy dev	cancer testis antigenes	Low	Yes	Direct	Proof of Concept	Low	No	2014	Litvinov, IV	10.1158/1078-0432.CCR-14-0307
248	Melanoma, Breast Cancer, Multiple Myeloma Cell, 	Immunotherapy	immunotherapy			Lymphocytes, CIK	SK-MEL-23, SK-MEL-37, ALAB, MCF-7, 734B, ARK , U266, T2-1B 	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Drug dev/testing	NY-ESO-1	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2015	Klar, AS	10.1371/journal.pone.0139221
249	General (Ovarian As Instrumental)	Immunotherapy	immunotherapy			dendritic cell lysate	LLC.OVA	In vitro	Cells	Immortalized cells	MPS	2D	n/a	n/a	Disease therapy dev Model/method dev - exp	antigene presentation	Low	Yes	Supportive	Qualified externally	Low	No	2017	Lybaert, L	10.1002/advs.201700050
250	Ovarian Cancer	Immunotherapy	Immunotherapy	 biomarkers		n/a	Biopsies	In vitro	Cell free / Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	CT45	Low	Yes	Direct	Proof of Concept	Low	No	2018	Coscia, F	10.1016/j.cell.2018.08.065
251	Head And Neck Cancer	Immunotherapy	immunotherapy			n/a	SiHa and Caski	In vitro	Cells / Cell free	Immortalized cells	Culture	2D	n/a	n/a	Disease therapy dev	RNA profile,  E2, E6, and E7 antigens, PD-1, IDO-1, citotoxicity, T-cell	Low	Yes	Direct	Qualified externally	High	No	2018	Krishna	10.1158/0008-5472.CAN-18-0163
252	General	Anti-Cancer Therapy	anti-cancer drug design and discovery			n/a	SK-OV-3	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	citotxicity	Low	Yes	Direct	Qualified externally	Low	No	2019	Wang, J	10.1016/j.intimp.2018.11.039
253	Endometrial Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	MLH1, MSH2, MSH6, and PMS2, CD8, programmed cell death protein 1 (PD-1), and programmed death-ligand 1 (PD-L1)) and p53	Medium	No	Direct	Proof of Concept	Low	No	2018	Kim, J	10.3390/cancers10090279
254	Melanoma	Biomarkers	biomarkers			n/a	liquid Biopsies	In vitro	Cell free	n/a	n/a	n/a	n/a	n/a	Disease mechanism (exp/theor)	DNA profile, NRAS mutation, correlation	Low	Yes	Direct	Proof of Concept	Low	Yes	2015	Gray, ES	10.18632/oncotarget.5788
255	Acute Myeloid Leukemia	Immunotherapy	immunotherapy			CAR	PBMCs, Bone marrow mononuclear cells	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	CD38	Low	Yes	Supportive	Proof of Concept	Low	No	2016	Drent, E	10.3324/haematol.2015.137620
256	Ovarian Cancer	Immunotherapy	immunotherapy	 anti-cancer treatment		CAR, NK92	SKOV-3, A2780, and OVCAR-3	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	citotoxicity	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2017	Klapdor, R	10.1089/hum.2017.168
257	General	Immunotherapy	immunotherapy			NK cells	L60, SK-BR-3, T47D, HCT-116, U937 and U251	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	ICAM-1, citotoxicity	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2018	Jeong, JU	10.1016/j.jcyt.2018.01.010
258	Breast Cancer	Immunotherapy	immunotherapy			NK cells	MCF-7, SK-BR-3 and MBA-MB-231	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	CXCR3, CXCR4 and CXCR6, citotoxicity, NK migration	Low	Yes	Supportive	Qualified externally	Low	No	2016	Yoon, MS	10.1016/j.jcyt.2016.08.006
259	General	Immunotherapy	immunotherapy	 anti-cancer therapy		NK cells, gamma delta T cells, alpha beta T cells	K562, Daudi, Raji, UB2MT, C1AK	In vitro	Cells	Immortalized cells / primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	NKp30, NKp44 and NKp46, and perforin, citotoxicity	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2014	Deng, XW	10.1016/j.intimp.2014.07.036
260	Liver Cancer	Immunotherapy	anti-cancer therapy	 immunomodulation		n/a	HepG2 cells, HCC cells	In vitro	Cells	Primary cell culture / Stem-cell like	Culture	2D	n/a	n/a	Disease therapy dev	apoptosis, citotoxicity	Low	Yes	Supportive	Proof of Concept	Low	No	2018	Chen, Z	10.3389/fphar.2018.01298
261	Colorectal Cancer	Immunotherapy	immunotherapy			NK cells	K562 cells, A431 	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	ADCC, degranulation	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2014	Oppenheim, DE	10.1038/bjc.2014.35
262	General	Immunotherapy	Immunotherapy	 biomarkers		n/a	Lymphocytes	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	1A3 , apoptosis	Low	Yes	Direct	Proof of Concept	Low	No	2014	Liddicoat, DR	10.1038/icb.2014.57
263	Osteosarcoma	Anti-Cancer Therapy	anti-cancer therapy			n/a	Lymphocytes	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	perforin, citotoxicity	Low	No	Supportive	Proof of Concept	Low	No	2016	Guo, BN	10.1080/13813455.2019.1638942
264	Leukaemia	Adoptive Cell Therapy	adoptive cell therapy			LAA-expressing hybridoma cells	PBMCs	In vitro	Cells	Primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	CTL ratio,  WT-1, PRAME, MAGE, h-TERT 	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2016	Mohamed, YS	10.1016/j.molimm.2016.07.012
265	General (Breast Cancer As Instrumental)	Immunomodulation	immunomodulation	 anti-cancer therapy		NK cells	BT-474	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	ADCC, CD16a or FcγRIIIa, proliferation, citotoxicity	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2017	Dakshinamurthy, P	10.1016/j.biologicals.2016.12.006
266	Ovarian Cancer	Cancer initiation and develop.	cancer initiation and dev			TREG, CTL, NK	SKOV-3-IP	In vitro	Cells	Immortalized cells / primary cell culture	Culture / Coculture	2D	n/a	n/a	Disease mechanism (exp/theor)	IDO,  IL-2, IFN-gamma, perforin secretion, IL-10 and TGF-beta	Low	No	Supportive	Proof of Concept/Qualified externally	Low	No	2015	Liu, J	10.3892/mmr.2014.2893
267	Non-Small Cell Lung Cancer	Immunotherapy	immunotherapy			PBMCs	A-549, PC9, HCC-827, H1975, H1993, BEas-2B	In vitro	Cells	Immortalized cells / primary cell culture	Culture / Coculture	2D	n/a	n/a	Disease mechanism (exp/theor)	PD-L1 and EGFR 	Low	No	Supportive	Proof of Concept/Qualified externally	Low	No	2015	Chen, N	10.1097/JTO.0000000000000500
268	Breast Cancer	Immunotherapy	immunotherapy			MMC	T cells	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	3D	Scaffolds	n/a	Disease mechanism (exp/theor)	CCL21 and IFNgamma	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2014	Phan-Lai, V	10.2174/18715206113136660375
269	Ovarian Cancer	Immunotherapy	immunotherapy			SKOV3, OVCAR-3, A2780, HEK-293T	NK-92	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease therapy dev	citotoxicity	Low	Yes	Supportive	Qualified externally	Low	No	2019	Klapdor, R	10.3390/ijms20030660
270	General	Immunotherapy	immunotherapy			hepatocellular carcinoma cell	CIK, NK, DCs	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	3D	Scaffolds	n/a	Disease therapy dev	citotoxicity, apoptosis, migration	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2019	Meng, YM	10.1002/jcp.28182
271	Prostate Cancer	Anti-Cancer Therapy	anti-cancer therapy			n/a	Biopsies, HEK293T, HEK-PSCA	In vitro	Cells / Ex vivo	Immortalized cells	Culture	2D	n/a	Biopsies	Disease therapy dev	prostate stem cell antigen (PSCA), citotoxicity	Low	Yes	Direct	Proof of Concept/Qualified externally	Low	No	2017	Kessler, C	10.1007/s00432-017-2472-9
272	Non-Small Cell Lung Cancer	Immunotherapy	immunotherapy			THP-1, Jurkat, HL-60	HEK293T , A-549	In vitro	Cells	Immortalized cells	Coculture	2D	n/a	n/a	Disease therapy dev	citotoxicity, T cell activation	Low	Yes	Supportive	Qualified externally	Low	No	2018	Chu, WQ	10.5582/bst.2018.01048
273	Breast Cancer, Prostate Cancer, Lung Carcinoma	Immunotherapy	immunotherapy	 anti-cancer treatment		NK	22RV1, Du-145, MCF-7, H460, SUM149	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	sensitivity to NK, citotoxicity, apoptosis	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2018	Fenerty, KE	10.1186/s40425-018-0445-4
274	Pancreatic Cancer	Adoptive Cell Therapy	adoptive cell therapy			DCs, citotoxic Lymphocytes	YPK-1	In vitro	Cells	Immortalized cells / primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	citotoxicity	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2014	Shindo, Y	10.1186/1479-5876-12-175
275	General (Cell Lines As Instrumental)	Immunomodulation	immunomodulation			NK cells	K562 Raji	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	CCR10, citotoxicity, chemiotaxis, CCL27, CCL28	Low	Yes	Supportive	Proof of Concept/Qualified externally	Medium	No	2016	Maghazachi, AA	10.3389/fimmu.2016.00437
276	Glioblastoma, Breast Cancer Brain Metastasis	Virotherapy 	virotherapy 			PBMCs	293T, U87-MG (ATCC, HTB-14), LN-18 (ATCC, CRL-2610), PC3 (ATCC, CRL-1435), MDA-MB-231BR	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	PDL1, CD8, citotoxicity	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2017	Lin, AH	10.1016/j.omtn.2016.11.007
277	General (Cell Lines As Instrumental)	Drug design and discovery	drug design and discovery			T-cells	NUGC4, HCT-116, SW620, MOLM-13	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Drug dev/testing	citotoxicity	Low	Yes	Supportive	Qualified externally	Low	No	2017	Ross, SL	10.1371/journal.pone.0183390
278	Breast Cancer	Immunotherapy	immunotherapy			NK cells	MCF-7, MDA-MB-231, SK-BR-3, BT-474	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	CD16, IFN-gamma, citotoxicity	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2017	Pham, DH	10.21873/anticanres.11981
279	Pancreatic Cancer	Immunotherapy	immunotherapy			NK cells	Panc-1,  Capan-1	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	CD137, ADCC, Fc gamma-RIIIA, citotoicity	Low	No	Supportive	Proof of Concept/Qualified externally	Low	No	2018	Masu, T	10.1371/journal.pone.0200664
280	Colorectal Cancer	Immunotherapy	Immunotherapy	 immunomodulation		CIK cells	SW480 	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	AMPK/Akt/mTOR pathway, IL-2, IL-10, insulin-like growth factor (IGF)-beta and vascular endothelial growth factor (VEGF), proliferation, invasion	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2019	Shi, JF	https://jbuon.com/archive/24-1-116.pdf
281	Prostate Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	liquid Biopsies, LAPC4, PC3, Du-145, 22rv1, LNCaP,RWPE-1	In vitro	Cells / Cell free	Immortalized cells	Culture	2D	n/a	Biopsies	Disease mechanism (exp/theor)	 NY-ESO1, multiple members of the MAGE and SSX families and NY-SAR35, SSX2, epigenetic profiles, RNA profile	Low	No	Direct	Proof of Concept/Qualified externally	Low	No	2016	Heninger, E	10.18632/oncotarget.12711
282	Head And Neck Squamous Cell Carcinoma	Immunomodulation	immunomodulation			n/a	HN4, HN6, HN30	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	PD-1, GDNF, JAK2-STAT1 signaling pathway	Low	Yes	Supportive	Qualified externally	Low	No	2017	Lin, CZ	10.1080/2162402X.2017.1353860
283	General (Cell Lines As Instrumental)	Gene therapy	gene therapy	 anti-cancer therapy		T-cells	HEK293, HeLa, MKN45, Jurkat clone E6–1, U937 	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	T cell activation and proliferation, citotoxicity	Low	Yes	Supportive	Proof of Concept	Low	No	2014	Compte, M	10.4161/onci.28810
284	General (Cell Lines As Instrumental)	Adoptive Cell Therapy	adoptive cell therapy			Human peripheral blood Lymphocytes (PBL), TILs	M171, M425 and M579	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	Toll-like receptor 4, IFN-gamma,  CD25, CD69 and 4-1BB, cytokines and chemokines	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2015	Pato, A	10.1111/cei.12688
285	Colon Cancer	Anti-Cancer Therapy	anti-cancer therapy			NK	HT-29, liquid Biopsies	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	citotoxicity, ADCC	Low	No	Supportive	Proof of Concept/Qualified externally	Low	No	2018	Mortara, L	10.1007/s11523-018-0586-x
286	Head And Neck Cancer	Cancer initiation and develop.	cancer initiation and dev			n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	TIM3, lymph node metastasis, CD8(+) T cells and CD11b(+) CD33(+) Myeloid-derived suppressor cells (MDSCss), 	Low	No	Supportive	Proof of Concept	Low	No	2017	Liu, JF	10.1002/1878-0261.12029
287	Bladder Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	correlation, immune cell desity	Low	Yes	Supportive	Proof of Concept	Low	No	2016	Pichler, R	10.18632/oncotarget.9537
288	Breast Cancer	Anti-Cancer Therapy	anti-cancer therapy			n/a	MBA-MB-231	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	MUC18, incasion, migration	Low	Yes	Direct	Qualified externally	Low	No	2017	Mohammadi, M	10.1007/s12010-016-2218-1
289	Melanoma	Immunotherapy	immunotherapy			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Diagnosis of disease	signatures of T cell dysfunction and exclusion	Low	Yes	Direct	Proof of Concept	Low	Yes	2018	Jiang, P	10.1038/s41591-018-0136-1
290	General	Anti-Cancer Therapy	anti-cancer therapy			T-cells	293T	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	Cytokine , citotoxicity	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2014	Urbanska, K	10.1186/s12967-014-0347-2
291	General (Cell Lines As Instrumental)	Drug design and discovery	drug design and discovery			CD27 memory cells	HEK293	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease therapy dev	citotoxicity	Low	Yes	Supportive	Proof of Concept	Low	No	2016	Klose, D	10.1186/s12896-016-0249-x
292	Leukaemia	Adoptive Cell Therapy	adoptive cell therapy			T-cells	 aAPC/mOKT3 cell (source K562), NALM-6	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	citotoxicity	Low	No	Supportive	Proof of Concept/Qualified externally	Low	No	2017	Kagoya, Y	10.1172/jci.insight.89580
293	Acute Myeloid Leukemia	Immunotherapy	immunotherapy			T-cells	MOLM-13, MOLM14, and HL60	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	CCL-1, citotoxicity	Low	No	Supportive	Proof of Concept/Qualified externally	Low	No	2017	Laborda, E	10.3390/ijms18112259
294	General	Immunomodulation	immunomodulation			DCs	Invariant Natural Killer T (iNKT), hESC, H1  	In vitro	Cells	Primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	T cell activity, CD1d	Low	Yes	Supportive	Proof of Concept	Low	No	2014	Zeng, JM	10.5966/sctm.2013-0070
295	Prostate Cancer	Anti-Cancer Therapy	anti-cancer treatment	 drug design and discovery		n/a	LNCaP, Du-145	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	PSMA, antigene binding	Low	Yes	Direct	Qualified externally	Low	No	2018	Michalska, M	10.21873/anticanres.12192
296	General (Cell Lines As Instrumental)	Anti-Cancer Therapy	anti-cancer treatment	 drug design and discovery		n/a	MCF-7, HUVEC	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease therapy dev	citotoxicity, proliferation	Low	Yes	Direct	Qualified externally	Low	No	2014	Safari, E	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4072084/
297	Breast Cancer	Anti-Cancer Therapy	anti-cancer treatment	 drug design and discovery		DCs	MDA-MB-231	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	citotoxicity, proliferation, TNF-alpha, IL-1 beta, IL-6 and PEG(2)	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2014	Zhang, P	10.1371/journal.pone.0102197
298	Prostate Cancer	Immunotherapy	immunotherapy			CTLs, DCs	 LNCaP, Du-145, 22RV1	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	T Lymphocytes proliferation, PSMA, 1BBL, IL-12, citotoxicity	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2015	Sui, CG	10.4238/2015.June.29.14
299	General	Immunotherapy	immunotherapy			n/a	 T cells 	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	Lymphocytes telomerase activity, 	Low	No	Direct	Proof of Concept	Low	No	2014	Ahmad, HT	10.4103/0973-1482.137906
300	General (Cell Lines As Instrumental)	Immunotherapy	Immunotherapy	 biomarkers		CTLs	THP-1 (Human acute monocytic leukemia), A-549, T2, U937, and MCF-7	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease mechanism (exp/theor) Disease therapy dev	citotoxicity	Low	No	Supportive	Proof of Concept/Qualified externally	Low	No	2014	Li, J	10.1007/s12032-014-0293-0
301	Pancreatic Cancer	Immunotherapy	immunotherapy			DCs, citotoxic Lymphocytes	Biopsies, Capan-2 (HLA-A2þ), AsPC-1 (HLA-A2 ), Panc-1 (HLA-A2þ), and MIA-PaCa-2 (HLA-A2 )	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	citotoxicity	Low	No	Supportive	Proof of Concept	Low	No	2015	Chen, J	10.1177/1535370215571884
302	General	Immunomodulation	immunomodulation			hepatic stellate cells	myeloid derived suppressor cells (MDSCss) 	In vitro	Cells	Primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	 CD8+ T cell proliferation, induction of MDSCss	Low	Yes	Supportive	Proof of Concept	Low	No	2016	Heine, A	10.1007/s00262-015-1790-5
303	Gastric Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies, MGC-803, NCI-N87 and AGS	In vitro	Cells / Ex vivo	Immortalized cells	Culture	2D	n/a	Biopsies	Disease mechanism (exp/theor)	PI3K, CLEC2	Medium	Yes	Supportive	Proof of Concept	Low	Yes	2016	Wang, L	10.1053/j.gastro.2016.01.034
304	General	Anti-Cancer Therapy	anti-cancer therapy			n/a	HL-60 pro-monocytic	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	CD64, MAP, citotoxicity	Low	Yes	Supportive	Qualified externally	Low	No	2016	Hristodorov, D	10.1038/icb.2016.4
305	Leukaemia	Anti-Cancer Therapy	anti-cancer therapy			n/a	Biopsies, HL-60, KG-1, K562, MOLT-4, A431	In vitro	Cells / Ex vivo	Immortalized cells	Culture	2D	n/a	Biopsies	Drug dev/testing	CD25 and DR5	Low	Yes	Direct	Proof of Concept	Low	No	2016	Madhumathi, J	10.1007/s11523-016-0424-y
306	Gastric Cancer	Immunotherapy	Immunotherapy	 immunomodulation		M phi 1 supernatant, T cells	SGC-7901 	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	T cell viability, citotoxicity	Low	Yes	Direct	Proof of Concept/Qualified externally	Low	No	2016	Wu, X	10.3892/ol.2016.5066
307	Breast Cancer	Immunotherapy	immunotherapy			n/a	MCF-7,  Natural Killer cell, and cytotoxic T Lymphocytes	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	apoptosis, cytokines, 	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2018	Lim, JA	10.1186/s12885-018-4064-8
308	Melanoma	Anti-Cancer Therapy	anti-cancer therapy			n/a	A375, A2058, G361 , SK-MEL-28	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	EPHA2 , citotoxicity	Low	Yes	Direct	Qualified externally	Low	No	2018	Sakamoto, A	10.21873/anticanres.12592
309	Bladder Cancer	Adoptive Cell Therapy	adoptive cell therapy			T-cells	Pumc-91 and T24 	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	citotoxicity, FN-gamma, TNF-alpha,CD69	Low	Yes	Supportive	Qualified externally	Low	No	2018	Ma, WR	10.1002/cam4.1775
310	Neuroblastoma	Immunotherapy	immunotherapy	 anti-cancer treatment		n/a	IMR-32, CHP-134	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	citotoxicity, autophagy, apoptosis, PHLDA1 , apoptosis	Low	No	Direct	Qualified externally	Low	No	2018	Durbas, M	10.1007/s10495-018-1472-9
311	General	Anti-Cancer Therapy	anti-cancer therapy			T-cells	Jurkat, CHO-K1, HeLa, HCC-827, PC3, NCI-H2023, 4 T1, B16-F10, and CT-26	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	PD-L1 and PD-L2, IL-2, IFN 	Low	No	Supportive	Proof of Concept/Qualified externally	Low	No	2018	Fromm, G	10.1186/s40425-018-0454-3
312	Pancreatic Cancer	Anti-Cancer Therapy	anti-cancer therapy	 Immunotherapy		NK92 	Panc-1 or MIA MIA-PaCa-2	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	ULBP2 , ADAM10 , citotoxicity	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2016	Lin, XS	10.18632/oncotarget.11780
313	Multiple Myeloma	Anti-Cancer Therapy	anti-cancer therapy	 Immunotherapy		NK cells	Biopsies	In vitro	Cells	Primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev Drug dev/testing	citotoxicity, HLA class I expression	Low	Yes	Supportive	Proof of Concept	Low	No	2018	Chang, SK	10.4149/neo_2018_171019N668
314	Myeloma	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		T-cells	Myeloid-derived suppressor cells	In vitro	Cells	Primary cell culture	Coculture	2D	n/a	n/a	Disease mechanism (exp/theor)	PD-1, PD-L1, migration	Low	No	Supportive	Qualified externally	Low	No	2017	Ballbach, M	10.1016/j.imlet.2017.10.001
315	Glioblastoma Multiforme	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		T-cells, TILs	Biopsies	In vitro	Cells / Ex vivo	Primary cell culture	Coculture	2D	n/a	Biopsies	Disease mechanism (exp/theor)	T-cell response, myothelin, IL-2, IL-15 and IL-21,FN-gamma and TNF-alpha	Low	Yes	Supportive	Proof of Concept	Low	No	2017	Liu, ZJ	10.18632/oncotarget.20303
316	General (Cell Lines As Instrumental)	Immunotherapy	immunotherapy			T-cells	DLD-1, HCT-116, SK-MEL-28, A2058 and CHO-K1, NCI-H1975, ES-2, MDA-MB-231, Biopsies	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	3D	Spheroids	n/a	Disease mechanism (exp/theor)	PD-L1/PD-1, citotoxixcity,  T cell activation, proliferation, secretion of IFN gamma, spheroid assay, T cell infiltration	Low	No	Supportive	Proof of Concept/Qualified externally	Low	No	2016	Hendriks, D	10.1080/2162402X.2016.1202390
317	Lung Cancer	Immunotherapy	immunotherapy			n/a	A-549	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	IFN-beta , PD-L1, PI3K, IFN-beta-induced	Low	No	Supportive	Qualified externally	Low	No	2018	Morimoto, Y	10.1016/j.bbrc.2018.11.035
318	Head And Neck Cancer	Immunomodulation	immunomodulation			exosomes	T cells, Three HPV(+) cell lines (UM-SCC-2, UM-SCC-47and UPCI:SCC-90, HPV(−) cell lines (PCI-13, PCI-30)	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	exosome protein profiles, E6/E7, p16, and survivin, apoptosis, proliferation	Low	No	Supportive	Proof of Concept	Low	No	2018	Ludwig, S	10.3389/fonc.2018.00445
319	Bladder Cancer	Immunotherapy	immunotherapy			NK cells	T24, UM-UC-3, J82, RT-112, RT4, and SW780	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	NKG2D, IL-2, BCG, degranulation, IFNγ, citotoxicity	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2015	Garcia-Cuesta, EM	10.3389/fimmu.2015.00284
320	Nasal Natural Killer/T-Cell Lymphoma	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		supernatants	SNK-6, SNT-8, and SNK-1	In vitro	Cell free	n/a	n/a	n/a	n/a	n/a	Disease mechanism (exp/theor)	CCL17 and CCL22/CCR4	Low	Yes	Supportive	Qualified externally	Medium	No	2015	Kumai, T	10.1007/s00262-015-1675-7
321	Colon Cancer	Immunomodulation	immunomodulation			n/a	peripheral Blood Lymphocytes from Colon cancer patients, SK-MEL-28, HCT- 116, M1/9 melanoma and IDC Tu2	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	T cell activation	Low	Yes	Supportive	Proof of Concept	Low	No	2015	Sun, WH	10.1016/j.canlet.2015.08.002
322	Metastatic Melanoma	Biomarkers	biomarkers			n/a	PBMCs, Biopsies	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Model/method qualification	immunoprofile	Low	Yes	Direct	Proof of Concept	Medium	No	2015	Kotlan, B	10.1007/s12026-014-8600-6
