Model no.	Disease area	Disease feature	Category	Type	Application/ aim	Biological or disease-specific endpoint	Assay Throughput/ Content	Relevance	Potential/Future developments	DOI	Author name	Year
375	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	CSF	Disease mechanism (exp/theor)	Protein dysfunction: Tau (phosphorylation)	Low-medium/medium	in vitro/in vivo relevance shown, different tau kinetics	novel tau SILK methods should prove useful in future studies aimed at determining the mechanism behind alterations in tau kinetics in tauopathies such as AD in humans and in cell culture	http://dx.doi.org/10.1016/j.neuron.2018.02.015	Sato	2018
376	AD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Disease mechanism (exp/theor)	Protein dysfunction: Tau (phosphorylation)	Low-medium/low	The mechanism of initiation of tau assembly into paired helical fragments is studied with these recombinant fibrils	not specified	10.1016/j.jmb.2017.09.007	Al-Hilaly	2014
377	AD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Disease mechanism (exp/theor)	Protein dysfunction: Tau (phosphorylation)	Low-medium/low	Deposition of aggregates of hyperphosphorylated tau protein is a hallmark of tauopathies like Alzheimer and many other neurodegenerative diseases. A sensitive and selective method of in vivo detection of tau-aggregate presence and distribution could provide  the means of an early diagnosis of tau-associated diseases. Furthermore, the use of selective molecular probes that enable histochemical differentiation of protein aggregates post-mortem would be advantageous for the insight into the properties of tau protein  aggregates.	Three radiotracers were prepared and successfully used in autoradiography, suggesting their possible applicability for in vivo PET imaging. However, toxicity and pharmacokinetic studies are always needed for human administration.	10.1021/acs.jmedchem.7b00764	Rejc	2017
378	AD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	The self-assembly of misfolded proteins into amyloid fibrils is an important event in the progression and pathology of increasingly prevalent neurodegenerative disorders such as Alzheimer’s disease 	not specified	10.1039/c7cp03412a	Young	2017
379	AD	Protein aggregation	Biochemical/cell-free assay	Other	Disease therapy developm	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	Inhibiting amyloid beta aggregation has drawn much attention because it is one of the main reasons for the cause of Alzheimer’s disease	the GOIO nanocomposite could be utilized as the inhibitor for amyloid- aggregation, which may have a potential use in future therapeutic treatment of Alzheimer’s disease	10.1016/j.colsurfb.2017.08.020	Ahmad	2017
380	AD	Cholinergic dysfunction/degeneration	Biochemical/cell-free assay	Other	Disease therapy developm	Cholinergic signalling/esterases	Low-medium/low	Butyrylcholinesterase (BuChE) is the other major form of cholinesterases, the inhibition of which could also improve the levels of ACh.	worthy to be further explored in in vivo studies of AD	10.1021/acschemneuro.7b00268	Yu	2017
381	AD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Disease therapy developm	Inflammation	Low-medium/low	 In Alzheimer’s disease (AD), growing evidence directly correlates neuronal damage with inflammation 	more sophisticated in vitro models and systematic analyses on the blood–brain barrier permeability are critically needed	10.3389/fimmu.2017.01411	Ameruoso	2017
382	AD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Disease therapy developm	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	the lack of a sensitive and reliable technique-a gold standard-for the detection of the toxic soluble oligomeric aggregates of the b1–42 amyloid peptide has dramatically slowed down the research in the field	this NMR screening approach can be extended to the screening against other self-aggregating peptides or proteins	10.1002/cmdc.201700319	Dalvit	2017
383	Several NDD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Protein dysfunction: multiple	Low-medium/low	The detection of Aβ and α-syn aggregates with fluorescent probes is particularly of interest for preclinical studies using fluorescence microscopy on human brain tissue 	not specified	10.1021/acschemneuro.6b00450	Watanabe	2017
384	AD	Protein aggregation	Biochemical/cell-free assay	Peptides	Model/method development - experim	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	The major advantage of the method is given by the high resolution for isolation of pure Abeta	The successful purification of two amyloidogenic peptides by electrophoresis provides implication for the purification of other amyloid peptides of similar size that are highly prone to aggregation; the method might be of interest for isolation of other amyloid peptides, which are critical for conventional purification strategies due to their aggregation propensity 	10.1002/elps.201700154	Spahn	2017
385	AD	Protein aggregation	Human/patient ex-vivo tissue or body fluids (brain biopsy, CSF, post-mortem)	Brain (or CNS) tissue	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	for disease: Selective detection and staining of toxic amyloid plaques, a potential biomarker present in the Alzheimer's disease (AD) brain is crucial for both clinical diagnosis and monitoring AD disease progression; for animal replacement: method tested in vitro and in human brain tissue	the CQ probe is a promising candidate for developing specific in vitro and in vivo methods for clinical diagnosis	10.1016/j.bios.2017.06.030	Rajasekhar	2017
386	AD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	for disease: Selective detection and staining of toxic amyloid plaques, a potential biomarker present in the Alzheimer's disease (AD) brain is crucial for both clinical diagnosis and monitoring AD disease progression; for animal replacement: method tested in vitro and in human brain tissue	the CQ probe is a promising candidate for developing specific in vitro and in vivo methods for clinical diagnosis	10.1016/j.bios.2017.06.030	Rajasekhar	2017
387	AD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Disease mechanism (exp/theor)	Protein dysfunction: Tau (phosphorylation)	Low-medium/low	A detailed understanding of the Tau/cofactor interactions and their biological consequences could be critical for interfering with the intracerebral spreading of Tau pathology. 	not specified	10.1021/acs.biochem.5b00453	Dinkel	2015
388	AD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	The present work fills the gap of a simple and high-throughput assay that resolves the stages of fibril formation when the common methods are deficient for technical reasons.  	Further developments of the method can include automation, e.g., at the sample collection and/or the filtration steps that would make it much easier to apply. Moreover, the method can be customized to fit the requirements of the amyloid system of choice by changing the membrane material, cut off size, peptide labeling strategy, and the fluorophore. The method can also be used in FRET studies of peptides employing two different fluorescent labels.	10.1021/acschemneuro.5b00104	Nasir	2015
389	AD	Protein aggregation	Biochemical/cell-free assay	Oligomers	Model/method development - experim	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	As amyloid-b (Ab) undergoes dynamic aggregation, it is impossible to isolate (‘hook’) the transient Ab oligomer in an assembly state-pure form (e.g., sole Ab dimer, trimer, tetramer, etc.). Obtaining such a pure Ab oligomer would allow us to establish an in vitro system to perform a more detailed investigation of the pathogenic properties of the oligomer.	This work opens the door for chemical synthesis of oligomers bigger than trimers in an assembly state-pure form, allowing for identification of the most toxic Ab oligomer.	10.1016/j.bmcl.2015.05.029	Shinoda	2015
390	AD	Protein aggregation	Biochemical/cell-free assay	Peptides	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	Any analytical technique for fast and reliable monitoring of Ab aggregation pathways is of evident biomedical interest.	Replacement of the highly ordered pyrolytic graphite (HOPG) substrate by cost-effective and easy-to-handle Gr allows the development of simple and fast analytical platforms for in vitro analysis of mechanisms of Alzheimer’s disease progression and treatment	10.1007/s00706-014-1362-y	Lopes	2015
391	AD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	new probes for molecular diagnosis of AD are needed	These results suggest that the compound/probe can be used for the early detection and monitoring of the progression of AD. The conjugation of the compound  with SPIONs to obtain an MRI contrast agent shall be further studied.	10.1007/s11164-013-1429-0	Fa	2015
392	AD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	The results indicate that ToF-SIMS is a powerful tool for investigating peptide adsorption and aggregation on membranes. 	There are possibilities for obtaining clearer biomolecular images by using Ar cluster ion sources, though further study is necessary to develop effective protocols for the measurement using an Ar cluster ion beam.	10.1007/s00216-015-8527-3	Aoyagi	2015
393	AD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Drug developm/ testing	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	To degrade selectively the amyloid form without affecting the fraction of functional protein is, therefore, an attractive goal. 	The inhibition of amyloid aggregation could be a drug-development target for treating amyloid diseases. The TaSCAc concept might be a foundation for designing therapeutic photooxygenation catalysts for the selective clearance of aberrant amyloid proteins.	10.1038/NCHEM.2550	Taniguchi	2016
394	AD	Protein aggregation	Biochemical/cell-free assay	Brain (or CNS) tissue	Disease mechanism (exp/theor)	Protein dysfunction: Tau (phosphorylation)	Low-medium/low	Recent evidence shows that disease-related modifications of tau cause abnormal exposure of PAD leading to axonal dysfunction and highlighting the importance of tau's amino terminus	not specified	10.1016/j.nbd.2016.05.016	Combs	2016
395	AD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	Electrochemical analysis based on electrooxidation of synthetic peptides has recently emerged as a simple and cost-effective approach to monitor Ab aggregation 	Direct electrochemistry is emerging as a method complementary to those capable of monitoring Ab aggregation and based on aggregates detection (by analyzing their size or structure such as in the case of DLS or ThT based fluorescence assay)	10.1002/elan.201501111	Suprun	2016
396	AD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Disease mechanism (exp/theor)	Protein dysfunction: Tau (phosphorylation)	Low-medium/medium	The cryo-EM structures of PHFs and SFs from the brain of an individual with Alzheimer’s disease establish a basis for understanding the differences between molecular conformers of tau aggregates, and explain how different isoforms are incorporated into the filaments. 	These results results demonstrate that amyloid structures from human brain may be obtained by cryo-EM. This opens up new possibilities for studying the molecular mechanisms underlying a wide range of neurodegenerative diseases.	10.1038/nature23002	Fitzpatrick	2017
397	AD	Protein aggregation	Biochemical/cell-free assay	Proteins	Drug developm/ testing	Oxidative/nitrosative stress	Low-medium/low	Aβ has been recognized to interact with numerous proteins, resulting in pathological changes to the metabolism of patients with AD. One such mitochondrial metabolic enzyme is amyloid-binding alcohol dehydrogenase (ABAD), where altered enzyme function caused by the Aβ-ABAD interaction is known to cause mitochondrial distress and cytotoxic effects, providing a feasible therapeutic target for AD drug development.	not specified	10.1177/2472555217697964	Aitken	2017
398	AD	Protein aggregation	Biochemical/cell-free assay	Oligomers	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	In addition to limited and contradictory structural and toxicity data on AbpE, the structure and function of heterogeneous assemblies of Ab/AbpE have not been analyzed despite their apparent biological importance. 	not specified	10.1111/febs.14058	Goldblatt	2017
399	AD	Protein aggregation	Biochemical/cell-free assay	Peptides	Diagnosis of disease	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	detecting the level of A(1-42) is crucial and helpful in AD clinical studies	this proposed strategy possesses potential diagnosis applications in AD studies	10.1016/j.snb.2016.12.052	Hu	2017
400	AD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Model/method development - experim	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	the authors envision that the proposed method will facilitate the discovery of efficient drug components for the treatment of Alzheimer’s disease	not specified	10.1039/c7cc00358g	Kim	2017
401	AD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Model/method development - experim	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	This simple and robust method is suitable to screen the activity of new compounds and should provide a useful tool for the discovery of drugs aiming at preventing the neurotoxicity of AD. This method could also be useful for clinical diagnosis where absolute quantification of Aβ oligomers is hampered by the difficulty to have stable calibrators due to the tendency of Aβ peptides to form aggregates even in vitro, potentially leading to biased results and incorrect classification of patients.	not specified	10.1016/j.talanta.2016.12.011	Brinet	2017
402	AD	Protein aggregation	Biochemical/cell-free assay	Peptides	Model/method development - experim	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	This work widens the application of the cost-effective and rapid electrochemical technique such as SWV on carbon SPE in the biomedical research area.	not specified	10.1016/j.electacta.2015.11.111	Suprun	2016
403	Several NDD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Model/method development - experim	Protein dysfunction: multiple	Low-medium/low	Accumulation of diverse protein aggregates in various cells, tissue and organs is the hallmark of many diseases, such as Alzheimer's disease and Parkinson's disease.	not specified	10.2174/0929866524666170818155030	Debnath	2017
404	AD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	The specific ordered structure of amyloids renders them resistant to natural degradation mechanisms. A thorough study of the reasons and mechanisms behind the formation of such structures is a necessary step towards understanding the phenomenon of amyloidogenesis.	not specified	10.18388/abp.2016_1393	Rybarska	2017
405	AD	Protein aggregation	Biochemical/cell-free assay	Peptides	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	Reproducible studies of Aβ(1–42) peptide	not specified	10.1016/j.ab.2015.12.021	Shigemitsu	2016
406	AD	Protein aggregation	Biochemical/cell-free assay	Peptides	Drug developm/ testing	Protein dysfunction: Tau (phosphorylation)	Low-medium/low	monitor effects of immunotherapeutic targets, specifically antibodies to nonphosphorylated protein, on posttranslational modification, specifically phosphorylation; in this case for tau	Additional studies with antibody cocktails (i.e.,mixtures of various antibodies) will allow for multiple epitope targeting and potentially more effective phosphorylation inhibition. The utility of the electrochemical assay may be extended to monitoring protein-based inhibition of posttranslational modifications by other enzymes. 	10.1016/j.ab.2015.12.002	Esteves-Villanueva	2016
407	AD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	small molecule fluorescent dyes have received increasing attention as probes of amyloid conformations	contributes important knowledge on the potential of cyanine dyes as amyloid probes that will aid future efforts towards development of a commercially available toolbox for amyloid detection with potential to offer sensitive colour-tuning possibilities and that can  be tailored to suit a range of different applications	10.1016/j.bbrc.2015.11.051	Lindberg	2016
408	AD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	Thioflavin T has been widely used as a fluorescent marker for amyloid aggregates. Nevertheless, its complex photophysical behavior, with strong wavelength dependencies of all its fluorescence properties, requires searching for new fluorescent probes. 	improving photochemical stability should be considered by designing more stable derivatives with similar photophysical properties	10.1002/chem.201406110	Freire	2015
409	AD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Disease mechanism (exp/theor)	Protein dysfunction: Tau (phosphorylation)	Low-medium/low	Monitoring the aggregation of the tau protein is a key protocol for elucidating the pathogenic mechanism of Alzheimer’s disease	the long luminescence lifetime of this complex could also expand its potential usage in the detection of tau filaments in the presence of short-lived fluorescent backgrounds 	10.1039/c5an01624j	Gao	2015
410	AD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Model/method development - experim	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	QCM-D is a powerful tool for studying amyloid growth and has potential application in the investigation of small molecules that affect amyloid fibrils growth and their associated mechanisms	QCM-D could be a potent tool to screen for amyloid inhibitors and investigate related modulating mechanism	10.1039/c5ra02314a	Wang	2015
411	AD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Diagnosis of disease	Protein dysfunction: Tau (phosphorylation)	Low-medium/low	Recent research efforts into alternative approaches for AD biomarkers have focused on biomimetic recognition elements such as peptides, molecular imprinting polymers, and nucleic acid aptamers. 	This study demonstrates that the aptamer 3146 could be promising as biorecognition element in the development of aptamer-based biosensors for detecting most of the tau protein isoforms  	10.1016/j.aca.2018.07.029	Lisi	2018
412	AD	Protein aggregation	Biochemical/cell-free assay	Oligomers	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	Notwithstanding decades of research, the relationship between size, structure and toxicity of Aß42 oligomers remains unclear, also because of the difficulties in setting-up in vitro methods, to study the dynamic formation of such oligomers, to characterize the observed species and to independently assign toxicity	this approach can be used to identify potential anti-oligomerization molecules and may help screening campaigns in drug discovery for Alzheimer's disease	10.1016/j.talanta.2018.05.062	Bisceglia	2018
413	PD	Dopaminergic neurodegeneration	Organoid model 	Neural stem cells	Model/method development - experim	Dopaminergic neurodegeneration in substantia nigra				http://dx.doi.org/10.1016/j.stemcr.2017.03.010 	Monzel	2017
414	PD	Dopaminergic neurodegeneration	Organoid model 	Embryonic stem cells	Model/method development - experim	Dopaminergic neurodegeneration in substantia nigra				http://dx.doi.org/10.1016/j.stem.2016.07.005 	Jo 	2016
415	AD	Protein aggregation	Biochemical/cell-free assay	Proteins	Model/method development - experim	Protein dysfunction: multiple				http://dx.doi.org/10.1021/acs.biochem.5b00459 	Aprile	2015
416	PD	Protein aggregation	Biochemical/cell-free assay	Oligomers	Disease mechanism (exp/theor)	Protein dysfunction: a-synuclein				[10.1093/brain/awv040]	Roberts 	2015
417	PD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Disease mechanism (exp/theor)	Protein dysfunction: a-synuclein				http://dx.doi.org/10.1021/nn406309c	Semerdzhiev	2014
418	PD	Dopaminergic neurodegeneration	Biochemical/cell-free assay	Polymers/hydrogels	Disease therapy developm	Dopamine dysregulation				http://dx.doi.org/10.1002/jbm.a.34837 	Sui  	2014
419	Several NDD	Protein aggregation	Biochemical/cell-free assay	Proteins	Disease mechanism (exp/theor)	Protein dysfunction: multiple				http://dx.doi.org/10.1016/j.bpj.2015.11.3523 	Saar	2016
420	PD	Dopaminergic neurodegeneration	Biochemical/cell-free assay	Polymers/hydrogels	Disease therapy developm	Dopaminergic neurodegeneration in substantia nigra				http://dx.doi.org/10.1038/am.2016.116 	Das 	2016
421	PD	Protein aggregation	Biochemical/cell-free assay	Proteins	Disease mechanism (exp/theor)	Protein dysfunction: a-synuclein				http://dx.doi.org/10.1021/acschemneuro.8b00052 	Illes-Toth	2018
422	PD	Protein aggregation	Biochemical/cell-free assay	Proteins	Disease mechanism (exp/theor)	Protein dysfunction: a-synuclein				http://dx.doi.org/10.1371/journal.pone.0196056 	Lassen	2018
423	PD	Protein aggregation	Biochemical/cell-free assay	Oligomers	Disease mechanism (exp/theor)	Protein dysfunction: a-synuclein				http://dx.doi.org/10.1042/BJ20150159 	Illes-Toth	2015
424	Several NDD	Protein aggregation	Biochemical/cell-free assay	Proteins	Disease mechanism (exp/theor)	Protein dysfunction: a-synuclein				http://dx.doi.org/10.3390/biom5020724	Ruzza	2015
425	Several NDD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Disease mechanism (exp/theor)	Protein dysfunction: multiple				http://dx.doi.org/10.1016/j.colsurfb.2014.12.008 	Ruiz 	2015
426	Several NDD	Protein aggregation	Biochemical/cell-free assay	Proteins	Disease mechanism (exp/theor)	Protein dysfunction: Tau (phosphorylation)				http://dx.doi.org/10.2174/156720501209151019104951 	Pickhardt	2015
427	Several NDD	Protein aggregation	Biochemical/cell-free assay	Proteins	Disease mechanism (exp/theor)	Protein dysfunction: multiple				https://www.ncbi.nlm.nih.gov/pubmed/25267253  	Gaharwar	2015
428	PD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Disease mechanism (exp/theor)	Protein dysfunction: a-synuclein				http://dx.doi.org/10.1021/acs.biochem.5b01168 	Lam	2016
429	Several NDD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Disease mechanism (exp/theor)	Protein dysfunction: a-synuclein				http://dx.doi.org/10.1074/jbc.M115.698787 	Dearborn	2016
430	PD	Protein aggregation	Biochemical/cell-free assay	Polymers/hydrogels	Disease mechanism (exp/theor)	Protein dysfunction: a-synuclein				http://dx.doi.org/10.1016/j.bbrc.2015.12.060 	Breydo	2016
431	PD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Disease mechanism (exp/theor)	Protein dysfunction: multiple				http://dx.doi.org/10.1002/pro.2798 	Janowska	2016
432	PD	Protein aggregation	Biochemical/cell-free assay	Proteins	Disease mechanism (exp/theor)	Protein dysfunction: a-synuclein				http://dx.doi.org/10.3791/53415 	Bandopadhyay	2016
433	Several NDD	Protein aggregation	Biochemical/cell-free assay	Proteins	Disease mechanism (exp/theor)	Protein dysfunction: a-synuclein				http://dx.doi.org/10.1186/s13024-015-0062-3 	Helferich	2015
434	Several NDD	Protein aggregation	Biochemical/cell-free assay	Proteins	Disease therapy developm	Protein dysfunction: a-synuclein				 [10.3791/55361]	Lek	2017
435	Several NDD	Protein aggregation	Biochemical/cell-free assay	Fibrils	Disease mechanism (exp/theor)	Protein dysfunction: multiple				http://dx.doi.org/10.1016/j.ijbiomac.2017.03.070	Jayamani	2017
436	Several NDD	Protein aggregation	Biochemical/cell-free assay	Proteins	Disease mechanism (exp/theor)	Protein dysfunction: multiple				 [10.1016/j.nbd.2017.01.007]	Andre	2017
437	PD	Protein aggregation	Biochemical/cell-free assay	Proteins	Disease mechanism (exp/theor)	Protein dysfunction: a-synuclein				http://dx.doi.org/10.1021/acs.biochem.7b01090 	Jha	2018
438	PD	Protein aggregation	Biochemical/cell-free assay	Proteins	Disease mechanism (exp/theor)	Protein dysfunction: a-synuclein				http://dx.doi.org/10.1021/bi401037z	Krasnoslobodtsev	2013
439	PD	Protein aggregation	Biochemical/cell-free assay	Proteins	Disease mechanism (exp/theor)	Protein dysfunction: a-synuclein				http://dx.doi.org/10.1371/journal.pone.0077235 	Hellstrand	2013
440	Several NDD	na	Lab/brain on chip or microfluidic system	Co-culture model (multiple cells)	Model/method development - experim	na				http://dx.doi.org/10.1039/c3lc41224e 	Ngoc-Duy Dinh	2013
441	Several NDD	Dopaminergic neurodegeneration	Lab/brain on chip or microfluidic system	Dopamin. neuronal precursor cell line	Model/method development - experim	Markers for dopaminergic (DA) neurons				http://dx.doi.org/10.1002/adma.201502489 	Kim	2015
442	Several NDD	Dopaminergic neurodegeneration	Lab/brain on chip or microfluidic system	Dopamin. neuronal precursor cell line	Model/method development - experim	Markers for  cell differentiation (e.g. astrocytes, oligodendroctyes, etc.)				http://dx.doi.org/10.1039/c5lc00180c 	Moreno	2015
443	Several NDD	Protein aggregation	Lab/brain on chip or microfluidic system	Proteins	Disease mechanism (exp/theor)	Protein dysfunction: multiple				http://dx.doi.org/10.1016/j.bpj.2015.11.3523 	Saar	2016
444	PD	Protein aggregation	Biochemical/cell-free assay	Proteins	Disease mechanism (exp/theor)	Protein dysfunction: a-synuclein				10.1021/ja5131726	Burai	2015
445	PD	Dopaminergic neurodegeneration	Human/patient primary or stem cells 	Multipotent human stem cells: neuronal	Model/method development - experim	Multiple biological endpoints				http://dx.doi.org/10.1016/j.nbd.2012.08.006 	Ribeiro	2013
446	PD	Dopaminergic neurodegeneration	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Model/method development - experim	Multiple biological endpoints				http://dx.doi.org/10.1089/scd.2015.0079 	Hu	2015
446	PD	na	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Model/method development - experim	Multiple: cell characterisation/differentiation/maturation				http://dx.doi.org/10.1089/scd.2015.0079 	Hu	2015
447	Several NDD	na	Human/patient primary or stem cells 	Multipotent human stem cells: neuronal	Model/method development - experim	Multiple: cell chacterisation/differentiation/maturation				https://doi.org/10.1089/scd.2014.0516	Chang	2015
448	PD	Dopaminergic neurodegeneration	Human/patient primary or stem cells 	Differentiated human cells: non-neuronal, non-CNS	Disease therapy developm	Apoptosis/cell death				http://dx.doi.org/10.5966/sctm.2015-0005	Jarmalaviciute	2015
449	PD	na	Human/patient primary or stem cells 	Non-differentiated human stem cells : embryonic	Model/method development - experim	Multiple: cell characterisation/differentiation/maturation				http://dx.doi.org/10.1155/2015/647437	Noisa	2015
450	PD	Dopaminergic neurodegeneration	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease therapy developm	Multiple: cell characterisation/differentiation/maturation				http://dx.doi.org/10.3791/51737	Zhang	2014
451	PD	Dopaminergic neurodegeneration	Human/patient primary or stem cells 	Non-differentiated human stem cells : embryonic	Disease therapy developm	Multiple: cell characterisation/differentiation/maturation				http://dx.doi.org/10.3791/51737	Zhang	2014
452	PD	Dopaminergic neurodegeneration	Human/patient primary or stem cells 	Multipotent human stem cells: non-neuronal, non CNS	Disease therapy developm	Dopamine release and/or uptake in cells				http://dx.doi.org/10.1007/s11626-013-9701-6	Fan	2014
452	PD	na	Human/patient primary or stem cells 	Multipotent human stem cells: non-neuronal, non CNS	Disease therapy developm	Multiple: cell chacterisation/differentiation/maturation				http://dx.doi.org/10.1007/s11626-013-9701-6	Fan	2014
453	PD	Dopaminergic neurodegeneration	Human/patient primary or stem cells 	Multipotent human stem cells: neuronal	Model/method development - experim	Multiple biological endpoints				http://dx.doi.org/10.1007/s12015-013-9493-9	Narytnyk	2014
454	PD	Dopaminergic neurodegeneration	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Model/method validation	Electrophysiological characterisation				http://dx.doi.org/10.1186/scrt423	Stanslowsky	2014
454	PD	na	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Model/method validation	Multiple: cell characterisation/differentiation/maturation				http://dx.doi.org/10.1186/scrt423	Stanslowsky	2014
455	PD	Energy metabolism	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Neuroprotection/neurotoxicity	Mitochondrial dysfunction				http://dx.doi.org/10.1007/s00204-018-2250-8 	Harris	2018
455	PD	Dopaminergic neurodegeneration	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Neuroprotection/neurotoxicity	Apoptosis/cell death				http://dx.doi.org/10.1007/s00204-018-2250-8 	Harris	2018
456	Several NDD	na	Human/patient primary or stem cells 	Non-differentiated human stem cells : embryonic	Model/method development - experim	Multiple: cell characterisation/differentiation/maturation				http://dx.doi.org/10.1002/stem.1585	Mong	2014
457	PD	Energy metabolism	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Model/method validation	Electrophysiological characterisation				http://dx.doi.org/10.1371/journal.pone.0087388	Hartfield	2014
457	PD	Dopaminergic neurodegeneration	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Model/method validation	Multiple: cell characterisation/differentiation/maturation				http://dx.doi.org/10.1371/journal.pone.0087388	Hartfield	2014
457	PD	Protein aggregation	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Model/method validation	Protein dysfunction: a-synuclein				http://dx.doi.org/10.1371/journal.pone.0087388	Hartfield	2014
458	PD	Energy metabolism	Human/patient primary or stem cells 	Differentiated human cells: neuronal	Disease mechanism (exp/theor)	Mitochondrial dysfunction				http://dx.doi.org/10.1007/s12640-013-9420-5	Braidy	2013
458	PD	Protein aggregation	Human/patient primary or stem cells 	Differentiated human cells: neuronal	Disease mechanism (exp/theor)	Protein dysfunction: a-synuclein				http://dx.doi.org/10.1007/s12640-013-9420-5	Braidy	2013
459	PD	Dopaminergic neurodegeneration	Human/patient primary or stem cells 	Multipotent human stem cells: non-neuronal, non CNS	Model/method validation	Apoptosis/cell death				http://dx.doi.org/10.1155/2014/909657	Liu	2014
459	PD	Energy metabolism	Human/patient primary or stem cells 	Multipotent human stem cells: non-neuronal, non CNS	Model/method validation	Mitochondrial dysfunction				http://dx.doi.org/10.1155/2014/909657	Liu	2014
460	Several NDD	Protein aggregation	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Protein dysfunction: a-synuclein				http://dx.doi.org/10.1038/srep28420 	Heman-Ackah	2016
461	Several NDD	na	Human/patient primary or stem cells 	Non-differentiated human stem cells : embryonic	Drug developm/ testing	Oxidative/nitrosative stress				http://dx.doi.org/10.5966/sctm.2015-0170	Thorne	2016
462	PD	Dopaminergic neurodegeneration	Human/patient primary or stem cells 	Non-differentiated human stem cells : embryonic	Disease mechanism (exp/theor)	Oxidative/nitrosative stress				http://dx.doi.org/10.1038/srep25181	Cui	2016
463	PD	Dopaminergic neurodegeneration	Human/patient primary or stem cells 	Non-differentiated human stem cells : embryonic	Disease therapy developm	Dopamine release and/or uptake in cells				http://dx.doi.org/10.1186/s12929-016-0251-6	Li	2016
