Model #	Disease Area	Disease Feature	Category	Type	Application	Application Sub-Category	Biological Endpoints	Throughput	Relevance	Status	Year	First Author Name	DOI	
341	Heart Valve Diseases 	Tricuspid Valve	in silico	FEM	Disease mechanism (exp/theor)	Disease mechanism and progression	TV dynamic characterisation	Not relevant (e.g. in silico)	Supportive	Under development 	2019	Singh-Gryzbon S.	10.1007/s10439-019-02243-y	
342	Arrhythmias	Arrhythmias, Cardiac	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Disease mechanism and progression	Understanding of the refractoriness role to prevent arrhythmias	Medium / Low (Lab scale)	Predictive	Under development 	2016	Skibsbye L.	10.1016/j.yjmcc.2016.10.009	
343	Heart Failure 	NA	in silico	FEM	Disease therapy development	Device development	Total artificial heart design	Not relevant (e.g. in silico)	Direct	Under validation	2013	Slepian M.J.	10.1016/j.jbiomech.2012.11.032	
344	Arrhythmias	Arrhythmias, Cardiac	in vitro with cells	2D culture 	Disease therapy development	Disease etiology and risk factors	Understanding of the proarrhythmic potential of drugs	Medium / Low (Lab scale)	Unknown	Under development 	2019	Slotvitsky M.	10.1093/toxsci/kfy274	
345	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro without cells	NA	Disease therapy development	Device development	Atrial septal occluder	Medium / Low (Lab scale)	Supportive	Optimisation	2017	So K.C.-Y.	10.1016/j.jcin.2017.02.045	
346	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Disease therapy development	Prosthesis effectiveness evaluation	Aortic valve dynamics	Not relevant (e.g. in silico)	Supportive	Optimisation	2018	Sodhani D.	10.1016/j.jbiomech.2018.07.018	
347	Heart Valve Diseases 	Mitral Valve	in vitro with cells	2D culture 	Diagnosis of disease	Disease etiology and risk factors 	Osteoprotegerin on mitral valve prolapse	Medium / Low (Lab scale)	Predictive	Under validation	2016	Songia P.	10.1016/j.yjmcc.2016.06.061	
348	Arrhythmias	Arrhythmias, Cardiac	in vitro with cells	2D culture 	Disease therapy development	Disease etiology and risk factors	Functionally targeted interventions for the treatment of arrhythmia	Medium / Low (Lab scale)	Predictive	Optimisation	2014	Spencer C.I.	10.1016/j.stemcr.2014.06.003	
349	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Device development	Antithrombotic graft	Medium / Low (Lab scale)	Supportive	Under development 	2018	Stahl A.M.	10.1002/adhm.201800222	
350	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	ex vivo	NA	Disease mechanism (exp/theor)	Treatment strategies evaluation	Induced vasorelaxation	Medium / Low (Lab scale)	Supportive	Optimisation	2014	Stanley C.P.	10.1016/j.phrs.2014.02.001	
351	Arrhythmias	Arrhythmias, Cardiac	in vitro with cells	2D culture 	Disease therapy development	Treatment strategies evaluation	Development of screening assays for testing individual drug reactions	Medium / Low (Lab scale)	Predictive	Optimisation	2017	Stillitano F.    	10.7554/eLife.19406	
352	Heart Valve Diseases 	Tricuspid Valve	in vitro without cells	NA	Disease therapy development	Prediction of post-intervention outcomes	TV repair treatment evaluation	Not relevant (e.g. in silico)	Supportive	Under development 	2018	Stock S.	10.1016/j.jtcvs.2017.10.068	
353	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro without cells	NA	Disease therapy development	Device effectiveness evaluation	Coronary obstruction after TAVI valve-in-valve	Medium / Low (Lab scale)	Supportive	Under validation	2017	Stock S.	10.1016/j.jtcvs.2016.09.086	
354	Cardiomyopathies 	NA	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Disease mechanism and progression	Dilated Cardiomyopathy iPSC study	Medium / Low (Lab scale)	Supportive	Under development 	2017	Streckfuss-Bömeke K.	10.1016/j.yjmcc.2017.09.008	
355	Heart Valve Diseases 	Mitral Valve	in silico	FEM	Disease therapy development	Surgical and/or interventional planning	Mitral valve regurgitation	Not relevant (e.g. in silico)	Predictive	Under development 	2017	Sturla F.	10.1016/j.jbiomech.2016.11.013	
356	Cardiomyopathies 	NA	in silico	FEM	Disease mechanism (exp/theor)	Disease mechanism and progression	DCM Fluidynamic characterisation	Medium / Low (Lab scale)	Predictive	Under development 	2014	Su B.	10.1109/IECBES.2014.7047502	
357	Heart Failure 	NA	in vitro without cells	NA	Disease therapy development	Device development	LVAD fluidodynamic evaluation	Not relevant (e.g. in silico)	Direct	Under development 	2015	Sunagawa G.	10.1016/j.jtcvs.2015.04.015	
358	Occlusive Disease 	Peripheral vessel	in vitro without cells	NA	Disease therapy development	Device effectiveness evaluation	Underdeployment in stent apposition 	Medium / Low (Lab scale)	Supportive	Under development 	2014	Svendsen M.C.	10.1016/j.jvs.2013.06.095	
359	Heart Valve Diseases 	Pulmonary Valve	in vitro with cells	3D culture	Disease therapy development	Prosthesis development	Regurgitation	Medium / Low (Lab scale)	Supportive	Under validation	2013	Syedain Z.H.	10.1089/ten.tea.2012.0365	
360	Heart Valve Diseases 	Aortic Valve	ex vivo	NA	Disease therapy development	Prosthesis development	Aortic valve regurgitation	Not relevant (e.g. in silico)	Direct	Under validation	2015	Tam H.	10.1016/j.biomaterials.2015.07.011	
361	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro without cells	NA	Disease therapy development	Surgical and/or interventional planning	Abdominal aortic aneurysm	Medium / Low (Lab scale)	Supportive	Optimisation	2013	Tam M.D.B.S.	10.1583/13-4450MR.1	
362	Cardiomyopathies 	NA	in silico	others (including analytical models, cell population dynamics etc.)	Disease mechanism (exp/theor)	Disease mechanism and progression	DCM Fluidynamic characterisation	Medium / Low (Lab scale)	Supportive	Under development 	2018	Tang C.	10.1111/echo.13732	
363	Heart Valve Diseases 	Pulmonary Valve	in silico	FEM	Disease mechanism (exp/theor)	Prediction of prosthesis profile	Hemodynamics in the total cavopulmonary connection	Medium / Low (Lab scale)	Supportive	Optimisation	2013	Tang E.	10.1016/j.jbiomech.2012.11.003	
364	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Diagnosis of disease	General disease effects on the body	Aortic valve dynamics	Not relevant (e.g. in silico)	Direct	Standardised 	2018	Tango A.M.	10.1007/s13239-018-00391-1	
365	Aneurysm	Aorta	ex vivo	NA	Disease mechanism (exp/theor)	Diagnosis of diseases	Abdominal aortic aneurysm	Medium / Low (Lab scale)	Predictive	Standardised 	2015	Tanios F.	10.1016/j.ejvs.2015.03.021	
366	Cardiomyopathies 	NA	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Disease mechanism and progression	Arrhythmogenic right ventricular cardiomyopathy iPSC study	Medium / Low (Lab scale)	Supportive	Under development 	2017	Te Riele A.S.J.M.	10.1093/cvr/cvw234	
367	Occlusive Disease 	Carotid	ex vivo	NA	Disease mechanism (exp/theor)	Disease mechanism and progression	Atherosclerotic plaque	Medium / Low (Lab scale)	Supportive	Under development 	2014	Teng Z.	10.1016/j.actbio.2014.09.001	
368	Arrhythmias	Arrhythmias, Cardiac	in vitro with cells	2D culture 	Disease therapy development	Treatment strategies evaluation	Development of patient-specific clinical regimens	Medium / Low (Lab scale)	Predictive	Optimisation	2013	Terrenoire C.	10.1085/jgp.201210899	
369	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro without cells	NA	Disease therapy development	Treatment strategies evaluation	Sinus venosus atrial septal defect and partial anomalous pulmonary venous return of the right upper pulmonary vein	Medium / Low (Lab scale)	Supportive	Optimisation	2018	Thakkar A.N.	10.1002/ccd.27645	
370	Heart Valve Diseases 	Mitral Valve	in vitro with cells	2D culture 	Diagnosis of disease	Disease etiology and risk factors 	Mitral valve remodeling evaluation	Medium / Low (Lab scale)	Predictive	Under validation	2015	Thalji N.M.	10.1161/CIRCGENETICS.114.000921	
371	Heart Valve Diseases 	Tricuspid Valve	in vitro without cells	NA	Disease mechanism (exp/theor)	Disease mechanism and progression	TV microstructure characterisation	Not relevant (e.g. in silico)	Supportive	Under development 	2019	Thomas V.S.	10.1016/j.actbio.2019.05.074	
372	Myocardia Ischemia	NA	in silico	FEM	Diagnosis of disease	Disease mechanism and progression	Coronary disease	Not relevant (e.g. in silico)	Supportive	Under development 	2014	Timmins L.H.	10.1007/s10439-014-1155-9	
373	Heart Failure 	NA	in vitro without cells	NA	Diagnosis of disease	Disease mechanism and progression	Vortex-ring mixing evaluation	Not relevant (e.g. in silico)	Predictive	Under validation	2016	Töger J.	10.1002/jmri.25111	
374	Heart Valve Diseases 	Mitral Valve	in silico	FEM	Disease mechanism (exp/theor)	Disease mechanism and progression	MV FSI characterisation	Medium / Low (Lab scale)	Supportive	Under development 	2016	Toma M.	10.1007/s10439-015-1385-5	
375	Arrhythmias	Arrhythmias, Cardiac	in silico	others (including analytical models, cell population dynamics etc.)	Diagnosis of disease	Diagnosis of diseases	Influence of sarcoplasmic reticulum (SR) calcium release on arrhythmias	Not relevant (e.g. in silico)	Supportive	Under development 	2018	Tomek J.	10.3389/fphys.2018.01306	
376	Aneurysm	Aorta	ex vivo	NA	Disease mechanism (exp/theor)	Disease mechanism and progression	Intraluminal thrombus formation	Not relevant (e.g. in silico)	Predictive	Under development 	2015	Tong J. & Holzapfel G.A.	10.1007/s10439-015-1332-5	
377	Aneurysm	Aorta	in vitro without cells	NA	Diagnosis of disease	Device development	Aneurysm endovascular repair	Medium / Low (Lab scale)	Supportive	Under validation	2017	Torres I.O. & De Luccia N.	10.1016/j.ejvs.2017.05.011	
378	Aneurysm	Aorta	ex vivo	NA	Disease mechanism (exp/theor)	Disease etiology and risk factors	Aneurysm rupture	Medium / Low (Lab scale)	Predictive	Under development 	2018	Trabelsi O.	10.1016/j.jbiomech.2017.11.012	
379	Arrhythmias	Arrhythmias, Cardiac	in silico	others (including analytical models, cell population dynamics etc.)	Disease therapy development	Treatment strategies evaluation	Evaluation of pro-arrhythmic potential of drugs and drug candidates	Not relevant (e.g. in silico)	Predictive	Under development 	2013	Trenor B.	10.4161/chan.24905	
380	Cardiovascular Surgical and interventional Procedures	Cardiac Surgical Procedures	in silico	FEM	Disease therapy development	Device effectiveness evaluation	Y graft effects on flow	Medium / Low (Lab scale)	Predictive	Under development 	2016	Trusty P.M.	10.1016/j.jtcvs.2016.03.019	
381	Heart Valve Diseases 	Aortic Valve	in vitro with cells	3D culture	Disease therapy development	Disease mechanism and progression	Aortic calcification	Not relevant (e.g. in silico)	Direct	Under validation	2014	Tseng H.	10.1016/j.actbio.2013.09.003	
382	Myocardia Ischemia	NA	in silico	FEM	Diagnosis of disease	Disease mechanism and progression	Coronary obstruction	Medium / Low (Lab scale)	Predictive	Optimisation	2014	Tu S.	10.1016/j.jcin.2014.03.004	
383	Myocardia Ischemia	NA	in silico	FEM	Diagnosis of disease	Diagnosis of diseases	Coronary hemodynamics	High (Automated)	Predictive	Standardised 	2016	Tu S.	10.1016/j.jcin.2016.07.013	
384	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Diagnosis of disease	Prosthesis effectiveness evaluation	Transcatheter aortic valve implantation	Not relevant (e.g. in silico)	Direct	Standardised 	2013	Tzamtzis S.	10.1016/j.medengphy.2012.04.009	
385	Occlusive Disease 	Carotid	in silico	FEM	Disease therapy development	Disease etiology and risk factors	Carotid restenosis	Not relevant (e.g. in silico)	Predictive	Under development 	2013	Uemiya N.	10.1016/j.jocn.2013.03.042	
386	Heart Failure 	NA	in silico	others (including analytical models, cell population dynamics etc.)	Diagnosis of disease	Disease etiology and risk factors	Prediction of platelet activation in LVAD systems	Not relevant (e.g. in silico)	Predictive	Under development 	2017	Uszko-Lencer N.H.M.K.	10.1016/j.ijcard.2016.11.122	
387	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Disease therapy development	Treatment strategies evaluation	Leaflet thrombosis	Not relevant (e.g. in silico)	Supportive	Under development 	2017	Vahidkhah K. & Azadani A.N.	10.1016/j.jbiomech.2017.04.020	
388	Aneurysm	Cerebral	in silico	FEM	Diagnosis of disease	Diagnosis of diseases	Aneurysm rupture	Medium / Low (Lab scale)	Predictive	Under validation	2018	Valen-Sendstad K.	10.1007/s13239-018-00374-2	
389	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro without cells	NA	Disease therapy development	Treatment strategies evaluation	Transverse aortic arch hypoplasia	Medium / Low (Lab scale)	Supportive	Optimisation	2015	Valverde I.	10.1002/ccd.25810	
390	Cardiovascular Surgical and interventional Procedures	Cardiac Surgical Procedures	in vitro without cells	NA	Diagnosis of disease	Surgical and/or interventional planning	Surgical planning for congenital heart defect	Medium / Low (Lab scale)	Supportive	Under development 	2017	Valverde I.    	10.1093/EJCTS/EZX208	
391	Heart Valve Diseases 	Pulmonary Valve	in silico	FEM	Disease therapy development	Surgical and/or interventional planning	Fontan circulation correction	Not relevant (e.g. in silico)	Supportive	Under development 	2018	van Bakel T.M.J.	10.1007/s12265-017-9781-x	
392	Cardiovascular Surgical and interventional Procedures	Reperfusion	ex vivo	NA	Disease mechanism (exp/theor)	Disease etiology and risk factors	Myocardial ischemia/reperfusion injury	Medium / Low (Lab scale)	Supportive	Optimisation	2016	Van Den Berg T.N.A.	10.1016/j.ijcard.2016.04.150	
393	Aneurysm	Aorta	in vitro without cells	NA	Disease therapy development	Prediction of device effects	Aneurysm endovascular sealing	Not relevant (e.g. in silico)	Supportive	Under development 	2019	van Schaik T.G.	10.1177/1526602818819494	
394	Myocardia Ischemia	NA	in vitro without cells	NA	Disease therapy development	Treatment strategies evaluation	Coronary microcirculation	Not relevant (e.g. in silico)	Supportive	Under development 	2016	Van't Veer M.	10.4244/EIJV12I6A114	
395	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro without cells	NA	Disease therapy development	Treatment strategies evaluation	Arteriovenous hemodialysis fistula	Medium / Low (Lab scale)	Supportive	Optimisation	2014	Varble N.	10.1016/j.jvs.2013.04.055	
396	Myocardia Ischemia	NA	in silico	FEM	Diagnosis of disease	Disease mechanism and progression	Coronary plaques	Medium / Low (Lab scale)	Supportive	Under development 	2014	Vergallo R.	10.1161/CIRCIMAGING.114.001932	
397	Heart Failure 	NA	in silico	FEM	Disease therapy development	Treatment strategies evaluation	Cardiac resynchronisation outcomes prediction	Not relevant (e.g. in silico)	Predictive	Under development 	2016	Villongco C.T.	10.1093/europace/euw356	
398	Heart Valve Diseases 	Tricuspid Valve	in vitro without cells	NA	Disease therapy development	Surgical and/or interventional planning	FTR treatment evaluation	Not relevant (e.g. in silico)	Predictive	Under development 	2016	Vismara R.	10.1016/j.jacc.2016.06.022	
399	Occlusive Disease 	Peripheral vessel	in vitro without cells	NA	Disease therapy development	Disease etiology and risk factors	Tissue accumulation on peripheral artery stents	Not relevant (e.g. in silico)	Supportive	Under development 	2013	Viswanath A.	10.1088/0960-1317/23/2/025010	
400	Heart Valve Diseases 	Mitral Valve	in vitro without cells	NA	Disease therapy development	Surgical and/or interventional planning	TMVR  phantom simulator	Not relevant (e.g. in silico)	Supportive	Optimisation	2017	Vukicevic M.	10.1007/s10439-016-1676-5	
401	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Disease therapy development	Disease effects on specific organs	Severe aortic stenosis 	Not relevant (e.g. in silico)	Supportive	Under development 	2018	Wald S.	10.1007/s10237-017-0962-y	
402	Heart Failure 	NA	in silico	FEM	Disease mechanism (exp/theor)	Disease mechanism and progression	Electromechanical model of asynchronous heart	Not relevant (e.g. in silico)	Supportive	Under development 	2015	Walmsley J.	10.1371/journal.pcbi.1004284	
403	Myocardia Ischemia	NA	in silico	FEM	Diagnosis of disease	Disease mechanism and progression	Ischemia diagnosis	Not relevant (e.g. in silico)	Supportive	Under development 	2013	Wang D.	10.1016/j.jcp.2013.05.027	
404	Cardiomyopathies 	NA	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Disease mechanism and progression	Barth syndrome iPSC study	Medium / Low (Lab scale)	Supportive	Standardised 	2014	Wang G.  	10.1038/nm.3545	
405	Aneurysm	Cerebral	in vitro without cells	NA	Diagnosis of disease	Diagnosis of diseases	Aneurysm rupture	Medium / Low (Lab scale)	Supportive	Under development 	2018	Wang J.-L.	10.1097/MD.0000000000011103	
406	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease therapy development	Prediction of device effects	Aortic root rupture	Not relevant (e.g. in silico)	Supportive	Under development 	2015	Wang Q.	10.1007/s10237-014-0583-7	
407	Heart Valve Diseases 	Mitral Valve	in silico	FEM	Disease mechanism (exp/theor)	Disease mechanism and progression	MV kinetics characterisation	Medium / Low (Lab scale)	Supportive	Optimisation	2013	Wang Q. & Sun W.	10.1007/s10439-012-0620-6	
408	Heart Valve Diseases 	Aortic Valve	in vitro with cells	3D culture	Disease therapy development	Disease mechanism and progression	Aortic valve disease	Not relevant (e.g. in silico)	Direct	Under validation	2017	Wang X.	10.1007/s10439-017-1871-z	
409	Heart Failure 	NA	in vitro with cells	3D culture	Disease therapy development	Treatment strategies evaluation	Functional cardiac tissue feasibility	Not relevant (e.g. in silico)	Supportive	Under validation	2018	Wang Z.	10.1016/j.actbio.2018.02.007	
410	Aneurysm	Aorta	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Disease mechanism and progression	Aneurysm growth	High (Automated)	Predictive	Under development 	2017	Wanhainen A.	10.1016/j.atherosclerosis.2016.11.007	
411	Occlusive Disease 	Veins	in vitro without cells	NA	Diagnosis of disease	Diagnosis of diseases	Vein occlusion	Not relevant (e.g. in silico)	Supportive	Under development 	2016	Wartak A.	10.1364/BOE.7.005233	
412	Myocardia Ischemia	NA	in vitro with cells	3D culture	Disease therapy development	Treatment strategies evaluation	Coronary restenosis	Not relevant (e.g. in silico)	Supportive	Under development 	2019	Wawrzyńska M.	10.1016/j.colsurfb.2018.11.061	
413	Occlusive Disease 	Carotid	ex vivo	NA	Disease mechanism (exp/theor)	Disease etiology and risk factors	Atheroembolic events	Medium / Low (Lab scale)	Supportive	Under development 	2018	Weinkauf C.C.	10.1016/j.jvs.2017.10.088	
414	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Diagnosis of disease	Disease etiology and risk factors	Aortic valve regurgitation	Not relevant (e.g. in silico)	Direct	Standardised 	2016	Wendell D.C.	10.1115/1.4033964	
415	Heart Failure 	NA	in silico	FEM	Disease therapy development	Prediction of device effects	CorCap effectiveness characterisation	Not relevant (e.g. in silico)	Predictive	Under development 	2013	Wenk J.F.	10.1016/j.athoracsur.2013.02.032	
416	Cardiovascular Surgical and interventional Procedures	Cardiac Surgical Procedures	in vitro without cells	NA	Diagnosis of disease	Surgical and/or interventional planning	Surgical planning for congenital heart defect	Not relevant (e.g. in silico)	Supportive	Under development 	2018	White S.C.	10.1111/chd.12673	
417	Cardiomyopathies 	NA	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Disease mechanism and progression	Hypertrophic cardiomyopathy energetic gene study	Medium / Low (Lab scale)	Supportive	Under development 	2014	Witjas-Paalberends E.R.   	10.1093/cvr/cvu127	
418	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro with cells	3D culture	Disease mechanism (exp/theor)	Device development	Tissue repair and organ replacements	Not relevant (e.g. in silico)	Supportive	Optimisation	2013	Wray L.S.	10.1002/adfm.201202926	
419	Heart Valve Diseases 	Aortic Valve	in vitro with cells	2D culture 	Diagnosis of disease	Disease mechanism and progression	Aortic dilatation	Not relevant (e.g. in silico)	Predictive	Under validation	2016	Wu J.	10.1016/j.jacc.2016.04.027	
420	Cardiovascular Surgical and interventional Procedures	Cardiac Surgical Procedures	in vitro with cells	3D culture	Disease therapy development	Device development	Heart valve-related disease	Not relevant (e.g. in silico)	Supportive	Under development 	2017	Wu S.	10.1016/j.actbio.2017.01.051	
421	Heart Failure 	NA	in silico	FEM	Disease therapy development	Disease etiology and risk factors 	LVAD thrombus evaluation	Not relevant (e.g. in silico)	Direct	Under development 	2016	Wu W.	10.1038/srep38025	
422	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease therapy development	Prediction of device effects	Transcatheter aortic valve replacement	Medium / Low (Lab scale)	Supportive	Under development 	2016	Wu W.-T.	10.1007/s10439-015-1429-x	
423	Aneurysm	Cerebral	in silico	FEM	Diagnosis of disease	Diagnosis of diseases	Aneurysm rupture	Not relevant (e.g. in silico)	Supportive	Under validation	2016	Xiang J.	10.1007/s10439-015-1363-y	
424	Heart Valve Diseases 	Aortic Valve	in vitro with cells	2D culture 	Diagnosis of disease	Disease mechanism and progression	Aortic calcification	Medium / Low (Lab scale)	Predictive	Under validation	2017	Xiao X.	10.1016/j.ijcard.2017.05.037	
425	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro with cells	3D culture	Disease therapy development	Treatment strategies evaluation	Acute myocardial infarction	Medium / Low (Lab scale)	Supportive	Optimisation	2013	Xu D.-Y.	10.1016/j.ijcard.2012.03.167	
426	Occlusive Disease 	Carotid	in silico	FEM	Disease mechanism (exp/theor)	Disease etiology and risk factors	Atherosclerotic stenosis of extracranial carotid arteries	Not relevant (e.g. in silico)	Supportive	Under development 	2018	Xu P.	10.1007/s10237-018-1045-4	
427	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Disease therapy development	Prosthesis effectiveness evaluation	Severe aortic stenosis 	Not relevant (e.g. in silico)	Supportive	Under development 	2017	Xuan Y.	10.1016/j.jtcvs.2016.12.016	
428	Cardiovascular Abnormalities including CCD 	NA	in vitro with cells	2D culture 	Disease mechanism (exp/theor)	Diagnosis of diseases	Congenital heart disease	Medium / Low (Lab scale)	Predictive	Under development 	2015	Yamamoto G.L. 	10.1136/jmedgenet-2015-103018	
429	Arrhythmias	Arrhythmias, Cardiac	in vitro with cells	2D culture 	Disease therapy development	Disease etiology and risk factors	Prediction of proarrhythmia risk at non-clinical drug development phase	Medium / Low (Lab scale)	Predictive	Optimisation	2018	Yamazaki D.	10.1016/j.jphs.2018.02.005	
430	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	FEM	Disease therapy development	Device effectiveness evaluation	Thrombosis after Y-graft Fontan procedure	Not relevant (e.g. in silico)	Predictive	Under development 	2015	Yang W.	10.1016/j.jtcvs.2014.08.069	
431	Cardiovascular Surgical and interventional Procedures	Cardiac Surgical Procedures	in silico	FEM	Disease therapy development	Prediction of device effects	Alagille syndrome	Not relevant (e.g. in silico)	Supportive	Under development 	2018	Yang W.	10.1111/chd.12556	
432	Aneurysm	Aorta	in vitro with cells	2D culture 	Diagnosis of disease	Diagnosis of diseases	Aortic dissection	Medium / Low (Lab scale)	Predictive	Under development 	2018	Ye J.	10.1016/j.cca.2017.10.033	
433	Cardiovascular Abnormalities including CCD 	NA	in vitro without cells	NA	Disease therapy development	Treatment strategies evaluation	Congenital heart disease	Medium / Low (Lab scale)	Supportive	Under validation	2017	Yoo S.-J. 	10.1016/j.jtcvs.2016.12.054	
434	Heart Valve Diseases 	Aortic Valve	in silico	FEM	Diagnosis of disease	Disease etiology and risk factors	Bicuspid aortic valve	Medium / Low (Lab scale)	Predictive	Under development 	2017	Youssefi P.	10.1016/j.jtcvs.2016.09.040	
435	Heart Valve Diseases 	Aortic Valve	in vitro with cells	3D culture	Disease mechanism (exp/theor)	Disease mechanism and progression	Aortic calcification	Not relevant (e.g. in silico)	Predictive	Under validation	2018	Yu C.	10.1093/cvr/cvx180	
436	Aneurysm	Aorta	in silico	FEM	Disease mechanism (exp/theor)	Disease etiology and risk factors	Dissection hemodynamics	Not relevant (e.g. in silico)	Supportive	Under development 	2016	Yu S.C.H	10.1007/s00270-016-1352-z	
437	Aneurysm	Aorta	in silico	FEM	Disease therapy development	Treatment strategies evaluation	Aortic repair	Not relevant (e.g. in silico)	Supportive	Under development 	2017	Yuan D.	10.1038/s41598-017-00644-4	
438	Occlusive Disease 	Carotid	in silico	others (including analytical models, cell population dynamics etc.)	Disease mechanism (exp/theor)	Disease etiology and risk factors	Risk of stroke	Not relevant (e.g. in silico)	Supportive	Under development 	2013	Yuo T.H.	10.1177/0272989X13491462	
439	Occlusive Disease 	Carotid	in silico	FEM	Disease mechanism (exp/theor)	Disease etiology and risk factors	Blood pressure estimation	Not relevant (e.g. in silico)	Supportive	Under development 	2018	Zakrzewski A.M.	10.1109/TBME.2017.2714666	
440	Arrhythmias	Arrhythmias, Cardiac	in silico	FEM	Disease therapy development	Disease mechanism and progression	Understanding of the drug effects on human ventricular activity	Not relevant (e.g. in silico)	Predictive	Under development 	2014	Zemzemi N.	10.1093/europace/euu122	
441	Arrhythmias	Arrhythmias, Cardiac	in vitro with cells	2D culture 	Disease therapy development	Diagnosis of diseases	Prediction of arrhythmias risk	High (Automated)	Predictive	Optimisation	2016	Zeng H.	10.1016/j.vascn.2016.05.009	
442	Aneurysm	Aorta	in silico	FEM	Disease mechanism (exp/theor)	Disease etiology and risk factors	Aneurysm growth	Not relevant (e.g. in silico)	Predictive	Under development 	2019	Zhang L.	10.1109/JBHI.2019.2896034	
443	Occlusive Disease 	Carotid	in silico	FEM	Disease mechanism (exp/theor)	Disease etiology and risk factors	Stenosis of vessels	Not relevant (e.g. in silico)	Supportive	Under development 	2016	Zhang Q.	10.1155/2016/8502873	
444	Aneurysm	Cerebral	in silico	FEM	Diagnosis of disease	Disease mechanism and progression	Anterior communicating artery aneurysms	High (Automated)	Predictive	Under development 	2019	Zhang X.	10.1007/s00330-018-5624-7	
445	Heart Valve Diseases 	Mitral Valve	in silico	FEM	Disease therapy development	Surgical and/or interventional planning	Mitral valve regurgitation	Not relevant (e.g. in silico)	Predictive	Under development 	2019	Zhang Y.	10.1371/journal.pone.0223472	
446	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in vitro with cells	3D culture	Disease therapy development	Device development	Perfusion of vascular conduits	Medium / Low (Lab scale)	Supportive	Under development 	2015	Zhang Y.	10.1039/c4bm00234b	
447	Cardiovascular Surgical and interventional Procedures	Vascular Surgical Procedures	in silico	others (including analytical models, cell population dynamics etc.)	Disease mechanism (exp/theor)	Surgical and/or interventional planning	Arrhythmogenesis	Medium / Low (Lab scale)	Supportive	Optimisation	2016	Zhou X.	10.1161/CIRCRESAHA.115.307836	
448	Heart Failure 	NA	in vitro without cells	NA	Disease therapy development	Device effectiveness evaluation	LVAD fluidodynamic evaluation	Not relevant (e.g. in silico)	Supportive	Under development 	2016	Zimpfer D.	10.1093/ejcts/ezw232	
449	Heart Valve Diseases 	Mitral Valve	ex vivo	NA	Disease mechanism (exp/theor)	Disease mechanism and progression	Mitral valve prolaps	Medium / Low (Lab scale)	Supportive	Under development 	2016	Zuo K.	10.1016/j.jmbbm.2016.05.034	
